feature,importance,rank
data__lempel_ziv_complexity__bins_2,8.131308256379256,1
"data__fft_coefficient__attr_""abs""__coeff_1",4.82780824146639,2
data__quantile__q_0.1,4.0350312328820666,3
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",3.9193485719609327,4
data__range_count__max_1__min_-1,3.7998970437320665,5
data__kurtosis,3.6664520686228075,6
data__number_crossing_m__m_0,3.3980260151790933,7
data__autocorrelation__lag_6,3.2833667616867843,8
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",3.1068132275748854,9
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",2.985853158657869,10
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",2.8737918231032795,11
data__autocorrelation__lag_5,2.60472707782168,12
data__mean_n_absolute_max__number_of_maxima_7,2.446818612622534,13
data__fourier_entropy__bins_10,2.373785463007453,14
data__fourier_entropy__bins_5,2.211091289613081,15
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",1.8887660737773153,16
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",1.8713076687103782,17
"data__linear_trend__attr_""rvalue""",1.720692859070394,18
data__maximum,1.6943076253414766,19
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",1.6759712797558999,20
data__absolute_maximum,1.5806139680171158,21
data__quantile__q_0.2,1.5446775729907918,22
data__quantile__q_0.4,1.4446236870872773,23
data__ratio_beyond_r_sigma__r_0.5,1.389454379920584,24
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",1.3864713533650426,25
data__index_mass_quantile__q_0.3,1.328647557265247,26
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",1.3195966197593252,27
data__autocorrelation__lag_8,1.1961576627316028,28
"data__fft_coefficient__attr_""imag""__coeff_1",1.1399542497457726,29
data__fourier_entropy__bins_100,1.132795874446913,30
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",1.0045609896605496,31
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.9606125288032527,32
data__quantile__q_0.3,0.9042080235375332,33
data__cid_ce__normalize_True,0.9010527949532753,34
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.872732193210796,35
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.8442271817114535,36
data__quantile__q_0.6,0.8042371237385921,37
data__binned_entropy__max_bins_10,0.7911238805091415,38
"data__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.7558934803107221,39
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.7518181289305104,40
data__ratio_beyond_r_sigma__r_1,0.7500809901597083,41
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.6929021879357998,42
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.6357136560829886,43
data__autocorrelation__lag_4,0.6327638456196281,44
data__quantile__q_0.7,0.6301327000714646,45
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.6260454519916869,46
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.5897723532767541,47
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.5851663922329772,48
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.502743173162817,49
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.4836041826966375,50
