feature,importance,rank
"data__fft_coefficient__attr_""abs""__coeff_1",0.04652717149613288,1
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.03802231989962669,2
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.03703243797888904,3
data__binned_entropy__max_bins_10,0.03526878075826071,4
data__lempel_ziv_complexity__bins_2,0.030517538287504774,5
data__range_count__max_1__min_-1,0.027269904901116863,6
data__absolute_maximum,0.02576676254564629,7
data__kurtosis,0.02471332484383104,8
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",0.019809702891079098,9
data__quantile__q_0.8,0.019651008838038175,10
data__quantile__q_0.1,0.019631494585309155,11
data__quantile__q_0.3,0.01913958368641906,12
data__fourier_entropy__bins_100,0.018898810865801856,13
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.017861852902011907,14
data__fourier_entropy__bins_10,0.017701154550318853,15
data__quantile__q_0.2,0.0169719652810172,16
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.015599985987237908,17
data__mean_n_absolute_max__number_of_maxima_7,0.015507960513041515,18
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.015430678443658218,19
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.014693014672897535,20
data__autocorrelation__lag_9,0.014323923513320496,21
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.013899671541444085,22
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.01349217537844047,23
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.013350530088635548,24
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.01291944448097597,25
data__autocorrelation__lag_8,0.012875694692118906,26
data__autocorrelation__lag_7,0.01285926301386894,27
data__fourier_entropy__bins_5,0.012477602351620633,28
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.011822690668891895,29
data__longest_strike_above_mean,0.011717291876355895,30
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.011717094566746187,31
data__quantile__q_0.7,0.011335603304744804,32
data__autocorrelation__lag_3,0.010647040205262302,33
data__ratio_beyond_r_sigma__r_0.5,0.009893074769092411,34
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.009856529476127,35
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.009274373116143564,36
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.009220307404122477,37
data__ratio_beyond_r_sigma__r_1,0.00921035974364809,38
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",0.008933981418562444,39
"data__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.008914794249387997,40
data__autocorrelation__lag_4,0.008871732534432512,41
data__autocorrelation__lag_6,0.008754526452101988,42
data__longest_strike_below_mean,0.008735706582373791,43
data__autocorrelation__lag_5,0.008319834306717535,44
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.008133033574276045,45
data__quantile__q_0.9,0.007195458775815159,46
data__index_mass_quantile__q_0.3,0.007115886399625851,47
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.006843209955163649,48
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.006820982151085811,49
data__quantile__q_0.4,0.0067926797278795225,50
