feature,importance,rank
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",0.12804666,1
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.08806845,2
data__autocorrelation__lag_1,0.062196366,3
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.061872132,4
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.05057826,5
data__ratio_beyond_r_sigma__r_0.5,0.049410786,6
data__lempel_ziv_complexity__bins_2,0.043111656,7
data__autocorrelation__lag_3,0.04154761,8
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.03944494,9
data__number_crossing_m__m_0,0.02669404,10
data__mean_abs_change,0.026535781,11
data__binned_entropy__max_bins_10,0.02620288,12
data__quantile__q_0.8,0.023139333,13
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.022766802,14
data__autocorrelation__lag_5,0.020278018,15
"data__fft_coefficient__attr_""abs""__coeff_1",0.017300824,16
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.01616791,17
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.015130771,18
data__range_count__max_1__min_-1,0.014859306,19
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.014378968,20
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.013027616,21
data__quantile__q_0.3,0.012467522,22
data__absolute_maximum,0.011869678,23
data__index_mass_quantile__q_0.3,0.011599834,24
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.010537961,25
data__number_crossing_m__m_1,0.00997489,26
data__longest_strike_above_mean,0.008394868,27
data__autocorrelation__lag_2,0.008075282,28
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.007859917,29
"data__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.007845444,30
data__fourier_entropy__bins_5,0.0066215564,31
data__autocorrelation__lag_9,0.006332486,32
data__kurtosis,0.0058804415,33
data__autocorrelation__lag_4,0.005722595,34
data__mean_n_absolute_max__number_of_maxima_7,0.005165623,35
data__quantile__q_0.9,0.004658063,36
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.0037512637,37
data__maximum,0.00374034,38
data__quantile__q_0.6,0.0034200433,39
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.0033592358,40
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.0032702363,41
"data__fft_aggregated__aggtype_""kurtosis""",0.0032544145,42
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.0031947943,43
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.003145574,44
"data__linear_trend__attr_""rvalue""",0.0031090714,45
"data__linear_trend__attr_""intercept""",0.0025866108,46
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.002545504,47
data__autocorrelation__lag_6,0.0025208085,48
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.0022423833,49
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.002043008,50
