id,true_label,predicted_label,correct,prob_stationary,prob_deterministic_trend,prob_stochastic_trend,prob_volatility,prob_collective_anomaly,prob_contextual_anomaly,prob_mean_shift,prob_point_anomaly,prob_trend_shift,prob_variance_shift,confidence
922,0,4,0,0.285,0.005,0.0,0.025,0.535,0.0,0.135,0.015,0.0,0.0,0.535
144,4,0,0,0.645,0.005,0.0,0.095,0.125,0.0,0.05,0.075,0.0,0.005,0.645
750,8,6,0,0.015,0.02,0.015,0.0,0.02,0.0,0.78,0.0,0.145,0.005,0.78
115,8,6,0,0.015,0.055,0.0,0.0,0.04,0.0,0.68,0.0,0.21,0.0,0.68
696,8,6,0,0.005,0.055,0.0,0.0,0.005,0.005,0.61,0.005,0.315,0.0,0.61
204,2,1,0,0.01,0.29,0.185,0.0,0.04,0.005,0.27,0.005,0.185,0.01,0.29
813,3,0,0,0.885,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.005,0.885
278,1,6,0,0.005,0.29,0.045,0.0,0.0,0.0,0.61,0.0,0.05,0.0,0.61
765,3,0,0,0.655,0.0,0.0,0.315,0.02,0.0,0.005,0.005,0.0,0.0,0.655
741,9,3,0,0.015,0.0,0.0,0.605,0.015,0.0,0.005,0.02,0.0,0.34,0.605
653,4,5,0,0.015,0.135,0.005,0.0,0.235,0.5,0.055,0.055,0.0,0.0,0.5
868,3,0,0,0.585,0.0,0.0,0.295,0.075,0.0,0.03,0.01,0.0,0.005,0.585
921,5,0,0,0.405,0.07,0.01,0.02,0.19,0.265,0.015,0.025,0.0,0.0,0.405
642,3,0,0,0.76,0.0,0.0,0.205,0.025,0.0,0.005,0.005,0.0,0.0,0.76
