feature,importance,rank
topo__sub_H0__carl_f3,13.18909343156937,1
"data__fft_coefficient__attr_""abs""__coeff_1",5.582865617673197,2
data__autocorrelation__lag_9,4.014569291174791,3
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",3.378435651332237,4
data__absolute_maximum,3.060390796321662,5
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",2.854966515979782,6
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",2.6865877335087682,7
topo__sup_H0__entropy,2.2419596137997386,8
topo__sub_H0__carl_f1,2.1829907048576485,9
topo__sup_H0__landscape_l1,2.152807644913534,10
data__kurtosis,2.0430668920983552,11
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",2.0369207104307403,12
data__binned_entropy__max_bins_10,2.028546728691312,13
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",1.9628239089457262,14
data__fourier_entropy__bins_100,1.6427883685748212,15
data__fourier_entropy__bins_5,1.620683137449887,16
topo__H1__carl_f3,1.5746304161306885,17
data__fourier_entropy__bins_10,1.445924242046096,18
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",1.4332158503523993,19
"data__fft_aggregated__aggtype_""kurtosis""",1.3999112924117962,20
data__autocorrelation__lag_5,1.3956320213641011,21
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",1.1882189461679071,22
data__autocorrelation__lag_3,1.0994233372583975,23
data__index_mass_quantile__q_0.3,1.0847564218036003,24
data__quantile__q_0.4,1.0647684461812028,25
topo__sub_H0__carl_f2,1.0612297636250947,26
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",1.0377968675843883,27
data__quantile__q_0.7,1.001534496361607,28
data__range_count__max_1__min_-1,0.9802575595398395,29
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.9222736334839998,30
data__lempel_ziv_complexity__bins_2,0.8978749029793766,31
data__ratio_beyond_r_sigma__r_1,0.8929275267376094,32
topo__sup_H0__carl_f2,0.8568884903071401,33
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.8457874523210251,34
data__autocorrelation__lag_8,0.8036851996745249,35
data__quantile__q_0.9,0.797608742556896,36
data__ratio_beyond_r_sigma__r_0.5,0.7643190263505011,37
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.7625919441140332,38
data__autocorrelation__lag_7,0.7584435906117822,39
topo__H1__carl_f2,0.7563815252935709,40
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.7523241380117467,41
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.6682844130572095,42
topo__sup_H0__carl_f4,0.6471271282409294,43
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.6265987594702261,44
data__cid_ce__normalize_True,0.625051800203195,45
topo__sup_H0__carl_f1,0.6187742615689916,46
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.5917739736721517,47
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.587669791024812,48
data__quantile__q_0.2,0.5741758229268661,49
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.5697785073295876,50
