feature,importance,rank
"data__fft_coefficient__attr_""abs""__coeff_1",0.052275647456191135,1
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.04001736002049741,2
topo__sub_H0__carl_f3,0.03593280338131468,3
data__range_count__max_1__min_-1,0.028254681453878328,4
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.027304275574857786,5
data__lempel_ziv_complexity__bins_2,0.0245492100935536,6
data__kurtosis,0.02385269083251392,7
data__quantile__q_0.3,0.018390320166485265,8
data__binned_entropy__max_bins_10,0.018131683954042223,9
data__quantile__q_0.2,0.017320893970302356,10
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.01687833105464126,11
data__absolute_maximum,0.016834139386913038,12
data__fourier_entropy__bins_10,0.01665411824619761,13
data__fourier_entropy__bins_100,0.015876750049436526,14
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.015111313113255918,15
topo__sup_H0__carl_f4,0.014994222107343127,16
data__ratio_beyond_r_sigma__r_0.5,0.01493526626968661,17
topo__sup_H0__entropy,0.01462017464327614,18
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.01449852555084812,19
data__quantile__q_0.8,0.014342364568032884,20
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.013217279468613247,21
data__autocorrelation__lag_5,0.012871672517565453,22
topo__sub_H0__entropy,0.012797684731099334,23
data__quantile__q_0.1,0.012758577185487872,24
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",0.01271644639284456,25
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.012634789940286204,26
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.01255311008256458,27
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.012432279370064919,28
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.011455963008269449,29
data__quantile__q_0.7,0.011376622614174716,30
topo__sup_H0__carl_f1,0.011159904687232727,31
data__autocorrelation__lag_9,0.011083677172259094,32
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.01057047884172067,33
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.010479986352328179,34
data__autocorrelation__lag_7,0.010088449776381984,35
data__longest_strike_above_mean,0.00979456683613946,36
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.009769440880101048,37
data__autocorrelation__lag_6,0.009633738436595131,38
topo__H1__carl_f3,0.008919189969725835,39
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.008779313972413902,40
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.008594822688814523,41
data__fourier_entropy__bins_5,0.008434591189733175,42
data__autocorrelation__lag_8,0.008393183343443463,43
data__ratio_beyond_r_sigma__r_1,0.00811099456257898,44
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.007933407855547948,45
data__longest_strike_below_mean,0.007869862149780985,46
data__autocorrelation__lag_3,0.007723901472444158,47
"data__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.007080870623133832,48
data__autocorrelation__lag_4,0.006966224092206763,49
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.006663794067233311,50
