feature,importance,rank
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.2394286,1
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.09758417,2
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",0.096687704,3
data__autocorrelation__lag_5,0.06821063,4
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.035538968,5
data__ratio_beyond_r_sigma__r_0.5,0.03536186,6
data__autocorrelation__lag_1,0.031352427,7
data__lempel_ziv_complexity__bins_2,0.029509943,8
data__mean_abs_change,0.021979313,9
data__quantile__q_0.8,0.02068679,10
data__autocorrelation__lag_4,0.018027484,11
topo__sub_H0__landscape_l1,0.015861424,12
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.01490505,13
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.014622877,14
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.014358404,15
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.012480211,16
data__binned_entropy__max_bins_10,0.0124542285,17
data__longest_strike_above_mean,0.011593979,18
"data__fft_coefficient__attr_""abs""__coeff_1",0.011570679,19
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.011530478,20
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.011022431,21
topo__sup_H0__entropy,0.009958165,22
topo__sup_H0__carl_f1,0.0096909115,23
data__autocorrelation__lag_6,0.009235065,24
data__range_count__max_1__min_-1,0.0077443407,25
data__ratio_beyond_r_sigma__r_1,0.0077168564,26
data__absolute_maximum,0.0070706643,27
topo__H1__carl_f2,0.006129077,28
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.006115216,29
data__index_mass_quantile__q_0.3,0.006107151,30
data__number_crossing_m__m_1,0.005888077,31
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.005718477,32
topo__H1__entropy,0.005535959,33
topo__sub_H0__carl_f1,0.005434778,34
"data__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.005410955,35
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.0051360014,36
data__autocorrelation__lag_2,0.0051111784,37
data__quantile__q_0.9,0.003974922,38
data__fourier_entropy__bins_5,0.003926473,39
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.0033430418,40
data__number_crossing_m__m_0,0.0032911247,41
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.002815119,42
topo__sub_H0__carl_f3,0.0027952688,43
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.0027664802,44
data__kurtosis,0.0025287715,45
"data__fft_aggregated__aggtype_""kurtosis""",0.0020141406,46
"data__linear_trend__attr_""rvalue""",0.0019956282,47
topo__H1__carl_f3,0.0019857923,48
data__autocorrelation__lag_9,0.0019210036,49
"data__linear_trend__attr_""intercept""",0.0018494808,50
