id,true_label,predicted_label,correct,prob_stationary,prob_deterministic_trend,prob_stochastic_trend,prob_volatility,prob_collective_anomaly,prob_contextual_anomaly,prob_mean_shift,prob_point_anomaly,prob_trend_shift,prob_variance_shift,confidence
922,0,4,0,0.34,0.005,0.0,0.025,0.54,0.005,0.08,0.005,0.0,0.0,0.54
726,6,4,0,0.12,0.0,0.0,0.025,0.505,0.0,0.335,0.005,0.0,0.01,0.505
144,4,0,0,0.71,0.005,0.0,0.085,0.135,0.005,0.04,0.02,0.0,0.0,0.71
750,8,6,0,0.0,0.02,0.01,0.0,0.015,0.0,0.845,0.0,0.11,0.0,0.845
115,8,6,0,0.0,0.03,0.005,0.0,0.01,0.005,0.68,0.0,0.27,0.0,0.68
696,8,6,0,0.0,0.04,0.005,0.0,0.0,0.0,0.63,0.0,0.325,0.0,0.63
204,2,6,0,0.01,0.225,0.215,0.005,0.035,0.0,0.3,0.0,0.205,0.005,0.3
813,3,0,0,0.88,0.0,0.0,0.11,0.0,0.0,0.005,0.005,0.0,0.0,0.88
278,1,6,0,0.0,0.245,0.035,0.0,0.0,0.0,0.535,0.0,0.185,0.0,0.535
765,3,0,0,0.6,0.0,0.0,0.37,0.015,0.0,0.01,0.005,0.0,0.0,0.6
741,9,3,0,0.01,0.0,0.0,0.675,0.005,0.0,0.0,0.0,0.0,0.31,0.675
653,4,5,0,0.025,0.175,0.005,0.0,0.27,0.425,0.06,0.04,0.0,0.0,0.425
868,3,0,0,0.645,0.01,0.0,0.225,0.055,0.0,0.05,0.015,0.0,0.0,0.645
921,5,0,0,0.395,0.045,0.0,0.07,0.2,0.26,0.01,0.02,0.0,0.0,0.395
642,3,0,0,0.69,0.0,0.0,0.305,0.0,0.0,0.005,0.0,0.0,0.0,0.69
