feature,importance,rank
topo__sub_H0__carl_f3,25.170436211671653,1
topo__H1__landscape_l1,10.756205196603762,2
topo__H1__carl_f3,9.726762692044732,3
topo__sub_H0__carl_f1,5.730225561179375,4
topo__sup_H0__entropy,5.511812093887111,5
topo__H1__carl_f2,5.352451397151738,6
topo__sup_H0__carl_f4,4.940042851186342,7
topo__H1__entropy,4.869341365597016,8
topo__sub_H0__carl_f4,4.437400544340771,9
topo__sup_H0__carl_f2,4.436523746916013,10
topo__sub_H0__carl_f2,2.9455202117607593,11
topo__sub_H0__landscape_l1,2.550545165416314,12
topo__H1__carl_f1,2.381668707211236,13
topo__sub_H0__entropy,2.312711047989078,14
topo__H1__carl_f4,2.305712852339168,15
topo__sup_H0__landscape_l1,2.2701841527647693,16
topo__sup_H0__carl_f3,2.1752194766666415,17
topo__sup_H0__carl_f1,2.12723672527351,18
