feature,importance,rank
topo__sub_H0__carl_f3,0.119231028241577,1
topo__H1__carl_f3,0.09294862821679528,2
topo__sub_H0__entropy,0.08045994151821347,3
topo__H1__entropy,0.07639193559188558,4
topo__sup_H0__entropy,0.07579699561606741,5
topo__H1__landscape_l1,0.06705399156105181,6
topo__sub_H0__landscape_l1,0.05838797696907104,7
topo__sup_H0__landscape_l1,0.04998315802761193,8
topo__sub_H0__carl_f1,0.0493370974947391,9
topo__sup_H0__carl_f2,0.04817721080529699,10
topo__sup_H0__carl_f1,0.04632447096235359,11
topo__H1__carl_f4,0.04391313961768897,12
topo__H1__carl_f2,0.041596115869220775,13
topo__sup_H0__carl_f4,0.039147760918098205,14
topo__sub_H0__carl_f2,0.03709090779232071,15
topo__sub_H0__carl_f4,0.03143683169211951,16
topo__sup_H0__carl_f3,0.02721854642666057,17
topo__H1__carl_f1,0.015504262679228206,18
