feature,importance,rank
topo__sup_H0__entropy,0.12319839,1
topo__sub_H0__entropy,0.12111331,2
topo__sup_H0__carl_f3,0.108186126,3
topo__H1__entropy,0.08727999,4
topo__sub_H0__landscape_l1,0.084546424,5
topo__H1__carl_f3,0.072338544,6
topo__sub_H0__carl_f3,0.071386226,7
topo__sub_H0__carl_f2,0.05485346,8
topo__sub_H0__carl_f1,0.04718488,9
topo__H1__carl_f1,0.04149988,10
topo__H1__carl_f4,0.03637852,11
topo__H1__landscape_l1,0.036124002,12
topo__sup_H0__carl_f4,0.034236155,13
topo__sup_H0__carl_f2,0.024543963,14
topo__H1__carl_f2,0.02044872,15
topo__sub_H0__carl_f4,0.0146826375,16
topo__sup_H0__landscape_l1,0.0132543165,17
topo__sup_H0__carl_f1,0.008744461,18
