id,true_label,predicted_label,correct,prob_stationary,prob_deterministic_trend,prob_stochastic_trend,prob_volatility,prob_collective_anomaly,prob_contextual_anomaly,prob_mean_shift,prob_point_anomaly,prob_trend_shift,prob_variance_shift,confidence
726,6,4,0,0.245,0.0,0.0,0.275,0.375,0.0,0.105,0.0,0.0,0.0,0.375
817,4,3,0,0.205,0.06,0.0,0.36,0.145,0.03,0.09,0.0,0.0,0.11,0.36
858,0,4,0,0.27,0.01,0.0,0.025,0.515,0.0,0.0,0.005,0.0,0.175,0.515
200,0,3,0,0.255,0.005,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.01,0.5
687,0,4,0,0.265,0.0,0.0,0.005,0.425,0.0,0.0,0.0,0.0,0.305,0.425
144,4,0,0,0.565,0.005,0.0,0.02,0.255,0.0,0.0,0.0,0.0,0.155,0.565
750,8,6,0,0.0,0.0,0.02,0.0,0.0,0.0,0.915,0.0,0.065,0.0,0.915
115,8,6,0,0.0,0.055,0.035,0.0,0.0,0.0,0.46,0.0,0.45,0.0,0.46
81,3,7,0,0.005,0.0,0.0,0.41,0.02,0.015,0.0,0.425,0.0,0.125,0.425
696,8,6,0,0.0,0.095,0.06,0.0,0.0,0.0,0.63,0.0,0.215,0.0,0.63
204,2,6,0,0.0,0.125,0.145,0.0,0.0,0.0,0.46,0.0,0.27,0.0,0.46
80,6,0,0,0.74,0.005,0.0,0.015,0.1,0.0,0.14,0.0,0.0,0.0,0.74
638,0,4,0,0.17,0.055,0.0,0.165,0.575,0.0,0.01,0.01,0.0,0.015,0.575
412,6,0,0,0.73,0.0,0.0,0.01,0.175,0.0,0.085,0.0,0.0,0.0,0.73
813,3,0,0,0.455,0.0,0.0,0.245,0.225,0.0,0.065,0.0,0.0,0.01,0.455
278,1,6,0,0.0,0.235,0.03,0.0,0.0,0.0,0.51,0.0,0.225,0.0,0.51
765,3,0,0,0.545,0.0,0.0,0.275,0.06,0.0,0.12,0.0,0.0,0.0,0.545
20,0,4,0,0.195,0.0,0.0,0.115,0.69,0.0,0.0,0.0,0.0,0.0,0.69
889,2,1,0,0.0,0.61,0.315,0.0,0.0,0.0,0.045,0.0,0.03,0.0,0.61
232,3,9,0,0.0,0.0,0.0,0.425,0.03,0.0,0.0,0.0,0.0,0.545,0.545
832,0,3,0,0.42,0.0,0.0,0.43,0.13,0.0,0.02,0.0,0.0,0.0,0.43
868,3,0,0,0.785,0.015,0.0,0.015,0.14,0.0,0.045,0.0,0.0,0.0,0.785
70,4,0,0,0.435,0.025,0.0,0.05,0.365,0.0,0.105,0.0,0.0,0.02,0.435
23,0,4,0,0.25,0.0,0.0,0.02,0.46,0.0,0.0,0.005,0.0,0.265,0.46
921,5,3,0,0.005,0.03,0.0,0.535,0.035,0.185,0.005,0.01,0.0,0.195,0.535
642,3,4,0,0.295,0.0,0.0,0.195,0.49,0.0,0.005,0.0,0.0,0.015,0.49
626,4,0,0,0.495,0.0,0.0,0.045,0.405,0.0,0.015,0.0,0.0,0.04,0.495
698,4,0,0,0.555,0.03,0.0,0.045,0.365,0.0,0.0,0.0,0.0,0.005,0.555
977,1,2,0,0.0,0.395,0.59,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.59
