iter	Passed	Remaining
0	61	12249
1	69	6868
2	76	5014
3	82	4034
4	87	3428
5	93	3023
6	99	2749
7	105	2530
8	111	2361
9	117	2225
10	122	2111
11	129	2023
12	134	1936
13	140	1864
14	145	1800
15	152	1748
16	158	1705
17	164	1660
18	170	1620
19	175	1581
20	181	1547
21	186	1512
22	192	1482
23	198	1457
24	204	1430
25	210	1405
26	215	1380
27	221	1357
28	226	1336
29	232	1317
30	238	1297
31	243	1280
32	249	1261
33	254	1244
34	260	1226
35	266	1213
36	616	2716
37	627	2675
38	635	2623
39	641	2567
40	647	2512
41	654	2461
42	659	2409
43	666	2362
44	672	2315
45	678	2270
46	685	2230
47	690	2187
48	696	2145
49	702	2107
50	708	2069
51	714	2034
52	720	1998
53	726	1964
54	733	1933
55	738	1899
56	744	1867
57	749	1836
58	754	1803
59	759	1772
60	766	1746
61	772	1718
62	777	1691
63	783	1665
64	788	1636
65	793	1611
66	798	1584
67	804	1560
68	809	1537
69	814	1512
70	820	1491
71	826	1468
72	830	1445
73	835	1422
74	840	1401
75	846	1380
76	850	1359
77	856	1338
78	860	1318
79	866	1299
80	871	1279
81	875	1260
82	881	1242
83	886	1223
84	892	1206
85	896	1189
86	901	1171
87	906	1153
88	910	1135
89	914	1118
90	919	1101
91	923	1084
92	927	1067
93	932	1051
94	937	1036
95	942	1020
96	947	1006
97	952	990
98	957	976
99	962	962
100	967	948
101	973	934
102	977	920
103	981	906
104	986	892
105	990	878
106	995	865
107	999	851
108	1003	837
109	1008	824
110	1012	811
111	1017	799
112	1021	786
113	1025	773
114	1029	761
115	1034	749
116	1038	736
117	1044	725
118	1049	714
119	1053	702
120	1058	690
121	1062	679
122	1067	668
123	1071	656
124	1076	645
125	1082	635
126	1086	624
127	1092	614
128	1096	603
129	1100	592
130	1105	582
131	1110	571
132	1115	561
133	1119	551
134	1124	541
135	1128	531
136	1133	521
137	1137	511
138	1141	501
139	1146	491
140	1150	481
141	1154	471
142	1159	462
143	1163	452
144	1167	442
145	1171	433
146	1175	423
147	1180	414
148	1184	405
149	1189	396
150	1193	387
151	1198	378
152	1202	369
153	1207	360
154	1211	351
155	1216	343
156	1221	334
157	1226	326
158	1231	317
159	1236	309
160	1242	300
161	1247	292
162	1251	284
163	1256	275
164	1261	267
165	1266	259
166	1271	251
167	1275	243
168	1280	234
169	1285	226
170	1290	218
171	1296	211
172	1301	203
173	1305	195
174	1309	187
175	1314	179
176	1318	171
177	1323	163
178	1327	155
179	1331	147
180	1336	140
181	1340	132
182	1344	124
183	1349	117
184	1353	109
185	1357	102
186	1362	94
187	1366	87
188	1371	79
189	1375	72
190	1379	65
191	1384	57
192	1388	50
193	1393	43
194	1398	35
195	1402	28
196	1407	21
197	1411	14
198	1415	7
199	1420	0
