feature,importance,rank
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",15.944069050248302,1
data__kurtosis,8.46881726815683,2
"data__fft_coefficient__attr_""abs""__coeff_1",7.854921336780989,3
data__binned_entropy__max_bins_10,4.618263158451327,4
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",3.863880602031356,5
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",3.3583418419808453,6
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",2.4216852601411754,7
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",1.8166100654939503,8
data__partial_autocorrelation__lag_1,1.7238810595224576,9
data__absolute_maximum,1.6742609605455316,10
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",1.6385596255180859,11
data__longest_strike_below_mean,1.5045729737055884,12
data__quantile__q_0.2,1.4047700225144972,13
data__mean_abs_change,1.3388842363563347,14
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",1.3341857575738172,15
data__variation_coefficient,1.3134796962144981,16
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",1.2514627002497205,17
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",1.1968176616849662,18
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",1.165283405746241,19
data__energy_ratio_by_chunks__num_segments_10__segment_focus_3,1.1275680467754257,20
data__autocorrelation__lag_4,1.1193608987906838,21
data__autocorrelation__lag_3,1.0865267286388047,22
data__autocorrelation__lag_1,1.0262417175443839,23
data__friedrich_coefficients__coeff_2__m_3__r_30,0.8921302797200154,24
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.8608793194821375,25
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.8380955905057754,26
data__minimum,0.8308463197291365,27
data__benford_correlation,0.8132677971990953,28
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.775123046179085,29
data__index_mass_quantile__q_0.3,0.7628984953928164,30
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.7517875085141428,31
data__index_mass_quantile__q_0.8,0.7447846730326503,32
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.7226908795216193,33
data__autocorrelation__lag_6,0.7218792497575878,34
data__quantile__q_0.1,0.7152219320427542,35
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.6921090650108553,36
data__autocorrelation__lag_7,0.6491482430956385,37
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.6286780770950748,38
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.6276534932543963,39
"data__fft_coefficient__attr_""abs""__coeff_2",0.6255228156749103,40
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.6130247381002626,41
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.5913571343167942,42
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.5814801486243807,43
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.5713949322914434,44
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",0.5668383473146634,45
"data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",0.5637569277214056,46
data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.5584900091935675,47
data__index_mass_quantile__q_0.6,0.5456367462794254,48
data__index_mass_quantile__q_0.2,0.5455892167708158,49
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.5450253650766869,50
