feature,importance,rank
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.07160803295760729,1
data__kurtosis,0.05716071193112664,2
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.05582003649236486,3
"data__fft_coefficient__attr_""abs""__coeff_1",0.04982345042517724,4
"data__linear_trend__attr_""pvalue""",0.04192408461065564,5
data__binned_entropy__max_bins_10,0.03694291602195746,6
"data__fft_coefficient__attr_""abs""__coeff_2",0.033532499170216605,7
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.02751580695496321,8
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.024148009693027696,9
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.022909651153438494,10
data__quantile__q_0.2,0.021654199160571968,11
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.021119466337807893,12
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.02027418812666062,13
data__ratio_beyond_r_sigma__r_1,0.01976484953493347,14
data__quantile__q_0.1,0.018753951857674263,15
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.016607745677722694,16
data__lempel_ziv_complexity__bins_3,0.015452212831686213,17
data__quantile__q_0.8,0.015136089580080005,18
data__autocorrelation__lag_1,0.014897157505591764,19
data__partial_autocorrelation__lag_1,0.014544363995274812,20
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.014408636385919963,21
data__mean_abs_change,0.014386827884290921,22
data__autocorrelation__lag_9,0.01389662170020173,23
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.013770246127317571,24
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.013276831531402989,25
"data__fft_coefficient__attr_""abs""__coeff_3",0.013173704202031074,26
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.012938754676453584,27
data__longest_strike_below_mean,0.012932363304677764,28
data__longest_strike_above_mean,0.012685850268831256,29
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.01226350445422137,30
data__absolute_maximum,0.011825995441861796,31
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.010949054532045999,32
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.010911114495463689,33
data__ratio_beyond_r_sigma__r_0.5,0.010235118380800025,34
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.01020178425123774,35
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.010160469220551194,36
data__friedrich_coefficients__coeff_2__m_3__r_30,0.009472662089443036,37
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.009258029739449293,38
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.009247142614029221,39
data__lempel_ziv_complexity__bins_5,0.008147544277447665,40
data__minimum,0.008119127472414289,41
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0068880519398382785,42
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.005442121717645365,43
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.004807900483405465,44
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.004772200255325154,45
data__autocorrelation__lag_7,0.004611107392256597,46
data__autocorrelation__lag_3,0.004508001395543396,47
data__autocorrelation__lag_8,0.004452133368359488,48
data__autocorrelation__lag_6,0.004272894512064858,49
data__lempel_ziv_complexity__bins_10,0.004254723474204377,50
