feature,importance,rank
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.2822838,1
data__kurtosis,0.1473486,2
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.076186046,3
"data__fft_coefficient__attr_""abs""__coeff_1",0.046481777,4
data__mean_abs_change,0.037449703,5
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.029685486,6
data__binned_entropy__max_bins_10,0.020879934,7
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.020311873,8
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.018670538,9
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.015121598,10
data__friedrich_coefficients__coeff_2__m_3__r_30,0.0110157905,11
data__autocorrelation__lag_1,0.007369468,12
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",0.007018525,13
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.0070048873,14
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.006981589,15
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.006885748,16
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.006786344,17
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.0062625916,18
data__lempel_ziv_complexity__bins_10,0.0062605427,19
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.006213468,20
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.0061568813,21
data__absolute_maximum,0.0061340444,22
data__quantile__q_0.1,0.0052773673,23
data__longest_strike_below_mean,0.0052539776,24
data__longest_strike_above_mean,0.0051393644,25
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.0050092405,26
"data__fft_coefficient__attr_""abs""__coeff_2",0.0049957274,27
data__quantile__q_0.2,0.0047422433,28
data__autocorrelation__lag_4,0.004670522,29
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.0046083857,30
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.0045927777,31
data__autocorrelation__lag_3,0.0045509594,32
data__quantile__q_0.8,0.004498463,33
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.004320833,34
data__autocorrelation__lag_6,0.0042962763,35
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.0041789077,36
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.0041245837,37
data__benford_correlation,0.004120881,38
data__index_mass_quantile__q_0.2,0.004058075,39
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.0039147343,40
"data__fft_coefficient__attr_""abs""__coeff_3",0.0037769142,41
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.0036376396,42
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.003490946,43
data__energy_ratio_by_chunks__num_segments_10__segment_focus_3,0.0034631705,44
data__autocorrelation__lag_8,0.0034609088,45
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.0034368923,46
data__minimum,0.0033996892,47
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.0033494208,48
data__lempel_ziv_complexity__bins_2,0.003346256,49
data__autocorrelation__lag_5,0.0032503163,50
