id,true_label,predicted_label,correct,prob_Stationary,prob_Non-Stationary,confidence
18996,1,0,0,0.615,0.385,0.615
16837,1,0,0,0.97,0.03,0.97
6677,0,1,0,0.21,0.79,0.79
17060,1,0,0,0.66,0.34,0.66
16845,1,0,0,0.865,0.135,0.865
16258,1,0,0,0.86,0.14,0.86
16569,1,0,0,0.5,0.5,0.5
17183,1,0,0,0.54,0.46,0.54
16986,1,0,0,0.965,0.035,0.965
1763,0,1,0,0.215,0.785,0.785
9106,0,1,0,0.49,0.51,0.51
17651,1,0,0,0.53,0.47,0.53
17061,1,0,0,0.535,0.465,0.535
16586,1,0,0,0.5,0.5,0.5
16069,1,0,0,0.6,0.4,0.6
16896,1,0,0,0.61,0.39,0.61
7293,0,1,0,0.475,0.525,0.525
16972,1,0,0,0.975,0.025,0.975
16429,1,0,0,0.76,0.24,0.76
16842,1,0,0,0.505,0.495,0.505
16787,1,0,0,0.81,0.19,0.81
17141,1,0,0,0.56,0.44,0.56
16599,1,0,0,0.54,0.46,0.54
4712,0,1,0,0.495,0.505,0.505
16401,1,0,0,0.855,0.145,0.855
16237,1,0,0,0.705,0.295,0.705
16730,1,0,0,0.505,0.495,0.505
16758,1,0,0,0.92,0.08,0.92
16081,1,0,0,0.605,0.395,0.605
1626,0,1,0,0.425,0.575,0.575
5277,0,1,0,0.14,0.86,0.86
16827,1,0,0,0.985,0.015,0.985
15424,1,0,0,0.615,0.385,0.615
7110,0,1,0,0.43,0.57,0.57
17066,1,0,0,0.855,0.145,0.855
16875,1,0,0,0.86,0.14,0.86
5565,0,1,0,0.0,1.0,1.0
16096,1,0,0,0.74,0.26,0.74
16241,1,0,0,0.935,0.065,0.935
16720,1,0,0,0.645,0.355,0.645
17243,1,0,0,0.65,0.35,0.65
16686,1,0,0,0.615,0.385,0.615
18299,1,0,0,0.925,0.075,0.925
16388,1,0,0,0.89,0.11,0.89
16221,1,0,0,0.835,0.165,0.835
13669,1,0,0,0.5,0.5,0.5
16390,1,0,0,0.895,0.105,0.895
14936,1,0,0,0.63,0.37,0.63
95,0,1,0,0.48,0.52,0.52
16945,1,0,0,0.9,0.1,0.9
16798,1,0,0,0.885,0.115,0.885
342,0,1,0,0.46,0.54,0.54
15426,1,0,0,0.71,0.29,0.71
16646,1,0,0,0.59,0.41,0.59
16218,1,0,0,0.85,0.15,0.85
16892,1,0,0,1.0,0.0,1.0
16559,1,0,0,0.6,0.4,0.6
17038,1,0,0,0.985,0.015,0.985
955,0,1,0,0.22,0.78,0.78
16054,1,0,0,0.585,0.415,0.585
16421,1,0,0,0.835,0.165,0.835
16418,1,0,0,0.77,0.23,0.77
17169,1,0,0,0.77,0.23,0.77
16861,1,0,0,0.765,0.235,0.765
16995,1,0,0,0.95,0.05,0.95
16099,1,0,0,0.8,0.2,0.8
1526,0,1,0,0.41,0.59,0.59
14384,1,0,0,0.575,0.425,0.575
15072,1,0,0,0.8,0.2,0.8
5974,0,1,0,0.39,0.61,0.61
15083,1,0,0,0.595,0.405,0.595
3983,0,1,0,0.445,0.555,0.555
16670,1,0,0,0.995,0.005,0.995
16648,1,0,0,0.935,0.065,0.935
15144,1,0,0,0.65,0.35,0.65
16997,1,0,0,0.51,0.49,0.51
17322,1,0,0,0.545,0.455,0.545
407,0,1,0,0.19,0.81,0.81
576,0,1,0,0.495,0.505,0.505
5005,0,1,0,0.335,0.665,0.665
17133,1,0,0,0.515,0.485,0.515
