feature,importance,rank
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",16.567973855414067,1
data__kurtosis,8.557052425839013,2
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",3.458420380669346,3
topo_H1_mean_bin19,2.5614142634383343,4
"data__fft_coefficient__attr_""abs""__coeff_1",2.264431564570133,5
topo_H1_mean_bin18,2.161015161530698,6
topo_H1_mean_bin16,2.056219658532805,7
"data__fft_aggregated__aggtype_""kurtosis""",1.7989378260761038,8
data__variation_coefficient,1.7023898671204623,9
data__fourier_entropy__bins_2,1.649103005726804,10
data__autocorrelation__lag_2,1.5879997773342363,11
data__mean_abs_change,1.4138674413412025,12
data__quantile__q_0.9,1.3708160865920713,13
data__quantile__q_0.1,1.3587351306761364,14
"data__fft_coefficient__attr_""abs""__coeff_2",1.2765107650434877,15
data__ratio_beyond_r_sigma__r_1,1.2728652223282901,16
data__binned_entropy__max_bins_10,1.2210707181508171,17
data__benford_correlation,1.1908756541552226,18
data__autocorrelation__lag_4,1.184180898716478,19
data__quantile__q_0.2,1.110189972338206,20
topo_H1_mean_bin17,1.0516450462004405,21
data__mean_n_absolute_max__number_of_maxima_7,1.0274902554122893,22
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",1.0224852254369112,23
data__autocorrelation__lag_3,0.9422937295547679,24
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.9225692776408859,25
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.8514094818972027,26
data__absolute_maximum,0.7779726338179838,27
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.7735554969761266,28
data__partial_autocorrelation__lag_1,0.7711726397398347,29
data__index_mass_quantile__q_0.4,0.7547168030881266,30
data__index_mass_quantile__q_0.7,0.7052343671484433,31
data__autocorrelation__lag_6,0.6868863157264455,32
data__minimum,0.6814237744558135,33
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.6636289353168807,34
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.6590781569551256,35
data__friedrich_coefficients__coeff_2__m_3__r_30,0.647951120121447,36
"data__fft_coefficient__attr_""abs""__coeff_3",0.6283089332824797,37
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.6278178335958254,38
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.6214544009222982,39
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.6013875727603365,40
data__maximum,0.5947030646711235,41
"data__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",0.5936489799144741,42
data__large_standard_deviation__r_0.2,0.5893370300507311,43
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.5630355947575687,44
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.561423494148927,45
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.549145311236304,46
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.5401294744316966,47
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.5329071998516084,48
"data__linear_trend__attr_""pvalue""",0.5133395311902714,49
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.5103473294349025,50
