feature,importance,rank
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.059684929621564756,1
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.05063625459483648,2
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.04962514009018764,3
data__kurtosis,0.03762858492827699,4
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.03263397125910747,5
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.03241297689085436,6
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.031203670835223636,7
"data__fft_coefficient__attr_""abs""__coeff_1",0.031016154151077047,8
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.02949281875288401,9
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.026561872533344712,10
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.02194869484818488,11
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.020052455347781852,12
"data__fft_coefficient__attr_""abs""__coeff_2",0.018077508623443643,13
data__lempel_ziv_complexity__bins_10,0.017351205958795007,14
data__ratio_beyond_r_sigma__r_1,0.016298509757529892,15
data__binned_entropy__max_bins_10,0.015829299270178447,16
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.01567107106780542,17
data__quantile__q_0.1,0.015127006983949025,18
data__autocorrelation__lag_9,0.01448139722328551,19
"data__linear_trend__attr_""pvalue""",0.014453727108675323,20
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.014423362409526616,21
data__autocorrelation__lag_7,0.014139714738325686,22
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.013472715621717389,23
topo_H1_mean_bin19,0.01306423025764361,24
data__lempel_ziv_complexity__bins_5,0.012643669384406399,25
topo_H1_mean_bin17,0.011783912008533974,26
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.011560651144659066,27
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.01114606543744579,28
topo_H1_mean_bin18,0.010150121512045234,29
data__quantile__q_0.9,0.009728857028916635,30
data__longest_strike_below_mean,0.008832216401493304,31
data__longest_strike_above_mean,0.008494034636161708,32
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.008462315454132103,33
data__quantile__q_0.3,0.008403293691595393,34
data__lempel_ziv_complexity__bins_3,0.008354949224479696,35
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.007756581835533773,36
data__mean_n_absolute_max__number_of_maxima_7,0.007730660708174282,37
data__quantile__q_0.2,0.0076848877352250974,38
data__quantile__q_0.8,0.007565312183610161,39
"data__fft_coefficient__attr_""abs""__coeff_3",0.0074140122758605,40
data__lempel_ziv_complexity__bins_100,0.007381724739021801,41
data__fourier_entropy__bins_2,0.007361441893788025,42
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.006683097559853349,43
topo_H1_mean_bin16,0.005994330032178455,44
data__autocorrelation__lag_8,0.005853602780592099,45
topo_H1_mean_bin15,0.005204717478110728,46
data__autocorrelation__lag_5,0.004993482435135476,47
"data__linear_trend__attr_""intercept""",0.00479479907046115,48
data__ratio_beyond_r_sigma__r_0.5,0.004593815391204418,49
data__autocorrelation__lag_6,0.003957057250406234,50
