feature,importance,rank
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.40094522,1
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.07359433,2
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.065303475,3
data__kurtosis,0.06466336,4
"data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",0.017636152,5
data__binned_entropy__max_bins_10,0.012577075,6
topo_H1_mean_bin19,0.0116813695,7
data__autocorrelation__lag_1,0.011598182,8
"data__fft_aggregated__aggtype_""kurtosis""",0.009042925,9
data__quantile__q_0.2,0.008939215,10
data__lempel_ziv_complexity__bins_10,0.008524291,11
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.00786883,12
data__mean_abs_change,0.007392963,13
data__autocorrelation__lag_3,0.007079863,14
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.0070702164,15
topo_H1_mean_bin15,0.007001796,16
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0068745106,17
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.0067844987,18
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.006207818,19
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.0060059316,20
topo_H1_mean_bin18,0.005834398,21
data__autocorrelation__lag_9,0.005822614,22
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.0057560764,23
data__lempel_ziv_complexity__bins_100,0.0051760767,24
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.005118451,25
data__quantile__q_0.1,0.00506128,26
data__fourier_entropy__bins_2,0.0050083376,27
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.0050024977,28
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.0049900925,29
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.0048657754,30
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.0047473265,31
topo_H1_mean_bin16,0.0047189738,32
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.0044897604,33
data__absolute_maximum,0.004487887,34
data__longest_strike_below_mean,0.004478178,35
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.0043298034,36
data__autocorrelation__lag_4,0.004297016,37
data__quantile__q_0.9,0.0041206568,38
"data__fft_coefficient__attr_""abs""__coeff_1",0.004026911,39
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0040205196,40
data__autocorrelation__lag_8,0.0040029334,41
data__friedrich_coefficients__coeff_2__m_3__r_30,0.0036654067,42
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.003569988,43
data__fourier_entropy__bins_5,0.0035509393,44
data__index_mass_quantile__q_0.4,0.0035074016,45
data__autocorrelation__lag_5,0.0032657732,46
data__lempel_ziv_complexity__bins_5,0.003168744,47
data__minimum,0.003142735,48
data__fourier_entropy__bins_3,0.0029893285,49
data__ratio_beyond_r_sigma__r_0.5,0.0029453994,50
