id,true_label,predicted_label,correct,prob_Stationary,prob_Non-Stationary,confidence
4290,1,0,0,0.81,0.19,0.81
1481,0,1,0,0.33,0.67,0.67
1002,0,1,0,0.405,0.595,0.595
3882,1,0,0,0.64,0.36,0.64
4240,1,0,0,0.775,0.225,0.775
4040,1,0,0,0.735,0.265,0.735
4085,1,0,0,0.56,0.44,0.56
4218,1,0,0,0.78,0.22,0.78
4285,1,0,0,0.68,0.32,0.68
1314,0,1,0,0.35,0.65,0.65
3881,1,0,0,0.585,0.415,0.585
4038,1,0,0,0.905,0.095,0.905
4164,1,0,0,0.735,0.265,0.735
3986,1,0,0,0.825,0.175,0.825
4175,1,0,0,0.84,0.16,0.84
155,0,1,0,0.26,0.74,0.74
3967,1,0,0,0.64,0.36,0.64
4446,1,0,0,0.545,0.455,0.545
3987,1,0,0,0.875,0.125,0.875
1772,0,1,0,0.4,0.6,0.6
3893,1,0,0,0.825,0.175,0.825
1786,0,1,0,0.44,0.56,0.56
3990,1,0,0,0.65,0.35,0.65
3972,1,0,0,0.56,0.44,0.56
4118,1,0,0,0.765,0.235,0.765
380,0,1,0,0.41,0.59,0.59
4203,1,0,0,0.865,0.135,0.865
4460,1,0,0,0.515,0.485,0.515
1491,0,1,0,0.05,0.95,0.95
4044,1,0,0,0.975,0.025,0.975
4452,1,0,0,0.5,0.5,0.5
4165,1,0,0,0.775,0.225,0.775
29,0,1,0,0.42,0.58,0.58
3901,1,0,0,0.645,0.355,0.645
3897,1,0,0,0.905,0.095,0.905
3915,1,0,0,0.855,0.145,0.855
