id,true_label,predicted_label,correct,prob_Stationary,prob_Non-Stationary,confidence
4290,1,0,0,0.9360917,0.06390829,0.9360917
1481,0,1,0,0.0068979263,0.9931021,0.9931021
4040,1,0,0,0.99821484,0.0017851593,0.99821484
4085,1,0,0,0.9604804,0.039519604,0.9604804
4218,1,0,0,0.96545863,0.034541346,0.96545863
4285,1,0,0,0.59311885,0.40688115,0.59311885
1314,0,1,0,0.37090778,0.6290922,0.6290922
4191,1,0,0,0.7160971,0.28390285,0.7160971
4288,1,0,0,0.7448993,0.2551007,0.7448993
4038,1,0,0,0.9939668,0.0060331766,0.9939668
4164,1,0,0,0.55101395,0.44898608,0.55101395
3986,1,0,0,0.6956178,0.30438218,0.6956178
4175,1,0,0,0.9971739,0.0028260858,0.9971739
155,0,1,0,0.42548835,0.57451165,0.57451165
3987,1,0,0,0.99125177,0.0087482575,0.99125177
1772,0,1,0,0.0065022707,0.9934977,0.9934977
3893,1,0,0,0.98539215,0.014607856,0.98539215
1786,0,1,0,0.16576213,0.8342379,0.8342379
541,0,1,0,0.2597081,0.7402919,0.7402919
4118,1,0,0,0.99095696,0.009043022,0.99095696
4203,1,0,0,0.9931273,0.0068727382,0.9931273
1491,0,1,0,0.0027441382,0.99725586,0.99725586
4196,1,0,0,0.674364,0.325636,0.674364
4044,1,0,0,0.9998853,0.00011466025,0.9998853
4165,1,0,0,0.87147945,0.12852056,0.87147945
29,0,1,0,0.10155946,0.89844054,0.89844054
4185,1,0,0,0.8940581,0.10594187,0.8940581
3897,1,0,0,0.9993944,0.0006055953,0.9993944
3915,1,0,0,0.7402089,0.25979108,0.7402089
1461,0,1,0,0.19750851,0.8024915,0.8024915
