sample_id,true_label,predicted_label,model_name,prob_stationary,prob_non-stationary
18594,1,0,TimeSeriesForest,0.88,0.12
15676,1,0,TimeSeriesForest,0.6,0.4
14396,1,0,TimeSeriesForest,0.61,0.39
14357,1,0,TimeSeriesForest,0.66,0.34
14930,1,0,TimeSeriesForest,0.6,0.4
15523,1,0,TimeSeriesForest,0.56,0.44
14151,1,0,TimeSeriesForest,0.62,0.38
1792,0,1,TimeSeriesForest,0.28,0.72
6274,0,1,TimeSeriesForest,0.22,0.78
10394,1,0,TimeSeriesForest,0.63,0.37
15799,1,0,TimeSeriesForest,0.51,0.49
14647,1,0,TimeSeriesForest,0.7,0.3
7238,0,1,TimeSeriesForest,0.46,0.54
15849,1,0,TimeSeriesForest,0.62,0.38
15359,1,0,TimeSeriesForest,0.83,0.17
10442,1,0,TimeSeriesForest,0.88,0.12
14641,1,0,TimeSeriesForest,0.58,0.42
15241,1,0,TimeSeriesForest,0.67,0.33
16931,1,0,TimeSeriesForest,0.82,0.18
16863,1,0,TimeSeriesForest,0.59,0.41
15482,1,0,TimeSeriesForest,0.53,0.47
5499,0,1,TimeSeriesForest,0.4,0.6
14786,1,0,TimeSeriesForest,0.59,0.41
14729,1,0,TimeSeriesForest,0.65,0.35
10586,1,0,TimeSeriesForest,0.67,0.33
10704,1,0,TimeSeriesForest,0.62,0.38
15281,1,0,TimeSeriesForest,0.7,0.3
14257,1,0,TimeSeriesForest,0.75,0.25
16992,1,0,TimeSeriesForest,0.75,0.25
5369,0,1,TimeSeriesForest,0.1,0.9
14426,1,0,TimeSeriesForest,0.74,0.26
14461,1,0,TimeSeriesForest,0.65,0.35
17098,1,0,TimeSeriesForest,0.76,0.24
14626,1,0,TimeSeriesForest,0.65,0.35
16426,1,0,TimeSeriesForest,0.61,0.39
5184,0,1,TimeSeriesForest,0.2,0.8
15594,1,0,TimeSeriesForest,0.52,0.48
2197,0,1,TimeSeriesForest,0.17,0.83
10769,1,0,TimeSeriesForest,0.7,0.3
14988,1,0,TimeSeriesForest,0.7,0.3
14327,1,0,TimeSeriesForest,0.76,0.24
16701,1,0,TimeSeriesForest,0.68,0.32
16580,1,0,TimeSeriesForest,0.66,0.34
7046,0,1,TimeSeriesForest,0.3,0.7
14226,1,0,TimeSeriesForest,0.57,0.43
16268,1,0,TimeSeriesForest,0.92,0.08
1980,0,1,TimeSeriesForest,0.49,0.51
16775,1,0,TimeSeriesForest,0.65,0.35
