feature,importance,rank
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",20.574278116271987,1
data__kurtosis,6.792436640299808,2
data__binned_entropy__max_bins_10,4.6533590750290275,3
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",2.644952976915144,4
data__fourier_entropy__bins_2,2.357892692953871,5
data__mean_n_absolute_max__number_of_maxima_7,2.326867614944925,6
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",2.2389064795737528,7
data__quantile__q_0.9,1.754035679760235,8
data__benford_correlation,1.7269736095011594,9
data__mean_abs_change,1.6567047054865782,10
"data__fft_coefficient__attr_""abs""__coeff_2",1.4773674224349207,11
data__variation_coefficient,1.4563849938599573,12
data__quantile__q_0.1,1.4473213594185723,13
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",1.2850484179339097,14
data__lempel_ziv_complexity__bins_2,1.248192125245658,15
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",1.2139843581141436,16
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",1.1897596251903992,17
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",1.16441199213749,18
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",1.1608801951191081,19
"data__fft_coefficient__attr_""abs""__coeff_1",1.1106044871081882,20
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",1.100230404575115,21
data__quantile__q_0.2,1.0603102354708243,22
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",1.0082425653785128,23
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.9945089116846237,24
data__autocorrelation__lag_5,0.9724806697699674,25
data__friedrich_coefficients__coeff_2__m_3__r_30,0.964775559525991,26
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.9619459907648151,27
data__quantile__q_0.8,0.9264374516572326,28
data__minimum,0.9217321827366114,29
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.8639716320332035,30
data__ratio_beyond_r_sigma__r_1,0.8535101503878981,31
data__index_mass_quantile__q_0.7,0.8506457546319702,32
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.8467351809300572,33
data__index_mass_quantile__q_0.3,0.8299921103696828,34
"data__fft_coefficient__attr_""imag""__coeff_2",0.8155646082211677,35
data__quantile__q_0.4,0.812075954609551,36
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.7711718621244014,37
"data__linear_trend__attr_""pvalue""",0.7559647925167531,38
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.7267321470990138,39
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.717345045251716,40
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.7131771270401658,41
data__index_mass_quantile__q_0.4,0.6836304849373604,42
data__longest_strike_below_mean,0.6703158239526663,43
data__autocorrelation__lag_7,0.6415203122597348,44
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.6401677123970985,45
data__autocorrelation__lag_9,0.634863757259143,46
data__quantile__q_0.3,0.6319524282658393,47
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.6093870361024797,48
"data__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",0.5927525623221359,49
data__quantile__q_0.6,0.5850762261276443,50
