feature,importance,rank
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.07230114251520861,1
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.06117917898839728,2
data__kurtosis,0.04796018916069263,3
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.04514427545201661,4
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.04512300378870068,5
"data__fft_coefficient__attr_""abs""__coeff_1",0.03769121331843885,6
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.03281253446610168,7
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.030161166962849963,8
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.02900335356738402,9
data__ratio_beyond_r_sigma__r_1,0.02715445042454629,10
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.0270296156993191,11
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.021968953498515343,12
data__lempel_ziv_complexity__bins_5,0.020928065996442025,13
"data__fft_coefficient__attr_""abs""__coeff_2",0.020532137731497997,14
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.020228211101475213,15
data__autocorrelation__lag_9,0.019985099612295693,16
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.018029923417591912,17
data__quantile__q_0.8,0.017535727608126626,18
data__binned_entropy__max_bins_10,0.01697289729135073,19
data__quantile__q_0.9,0.01671546725284456,20
data__lempel_ziv_complexity__bins_3,0.016367909102391782,21
data__lempel_ziv_complexity__bins_10,0.0159776041546758,22
"data__linear_trend__attr_""pvalue""",0.015072413303747801,23
data__quantile__q_0.1,0.012227465100926887,24
data__mean_n_absolute_max__number_of_maxima_7,0.011953701855343411,25
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.011671600109202764,26
data__autocorrelation__lag_7,0.010295246640865055,27
data__longest_strike_below_mean,0.010207930978056536,28
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.010134846422439246,29
data__quantile__q_0.2,0.009970541316209098,30
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.009423889308740677,31
data__longest_strike_above_mean,0.008963810017277947,32
data__quantile__q_0.3,0.008938645189617398,33
data__autocorrelation__lag_5,0.008837344268702122,34
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.007574166636338926,35
data__quantile__q_0.7,0.007566011321161982,36
data__fourier_entropy__bins_2,0.0072410863060763005,37
data__fourier_entropy__bins_3,0.006643746004292089,38
data__ratio_beyond_r_sigma__r_0.5,0.006458765550552953,39
data__lempel_ziv_complexity__bins_100,0.00643003955486412,40
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.005744229823119166,41
data__lempel_ziv_complexity__bins_2,0.005481318253623898,42
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.00539143028591817,43
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.005021921204905791,44
data__mean_abs_change,0.004976554703266084,45
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.0045616147324533925,46
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.004536520605294662,47
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.004478354698921396,48
data__minimum,0.004345237887881251,49
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.00409261828709228,50
