feature,importance,rank
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.44990396,1
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.099729955,2
data__kurtosis,0.07747035,3
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.022851873,4
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.0142418,5
data__quantile__q_0.2,0.0115616545,6
data__mean_abs_change,0.010959607,7
"data__fft_coefficient__attr_""abs""__coeff_1",0.010506965,8
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.009173056,9
data__binned_entropy__max_bins_10,0.009009453,10
data__ratio_beyond_r_sigma__r_1,0.008115231,11
data__fourier_entropy__bins_2,0.0077662095,12
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.0077237953,13
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.007240945,14
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.0069485875,15
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.006769214,16
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.006101891,17
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.00576385,18
data__lempel_ziv_complexity__bins_3,0.005388475,19
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.0048827883,20
data__index_mass_quantile__q_0.7,0.0048471335,21
data__quantile__q_0.1,0.0048183003,22
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.0047877445,23
data__lempel_ziv_complexity__bins_10,0.004748162,24
data__fourier_entropy__bins_3,0.0046644756,25
data__benford_correlation,0.004630995,26
data__lempel_ziv_complexity__bins_5,0.0045575886,27
data__autocorrelation__lag_5,0.004547092,28
data__mean_n_absolute_max__number_of_maxima_7,0.0045330413,29
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.0044707838,30
data__quantile__q_0.9,0.004447346,31
data__autocorrelation__lag_9,0.0042711576,32
data__quantile__q_0.6,0.004147392,33
data__number_crossing_m__m_1,0.0040840283,34
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.0040122364,35
data__minimum,0.003992469,36
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.003943576,37
data__cid_ce__normalize_False,0.0039000595,38
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.0038324138,39
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.0037893548,40
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.0037009264,41
"data__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",0.0036987944,42
data__energy_ratio_by_chunks__num_segments_10__segment_focus_9,0.0036647231,43
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.0036091383,44
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.0035971855,45
data__friedrich_coefficients__coeff_2__m_3__r_30,0.0034692704,46
data__index_mass_quantile__q_0.4,0.003198305,47
data__ratio_beyond_r_sigma__r_0.5,0.0031809749,48
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.0031689864,49
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.003156123,50
