id,true_label,predicted_label,correct,prob_Stationary,prob_Non-Stationary,confidence
4290,1,0,0,0.68,0.32,0.68
1481,0,1,0,0.27,0.73,0.73
1002,0,1,0,0.495,0.505,0.505
3882,1,0,0,0.67,0.33,0.67
4240,1,0,0,0.78,0.22,0.78
4040,1,0,0,0.93,0.07,0.93
4085,1,0,0,0.69,0.31,0.69
4218,1,0,0,0.67,0.33,0.67
4285,1,0,0,0.815,0.185,0.815
1314,0,1,0,0.465,0.535,0.535
3881,1,0,0,0.725,0.275,0.725
4038,1,0,0,0.885,0.115,0.885
1511,0,1,0,0.48,0.52,0.52
4164,1,0,0,0.705,0.295,0.705
3986,1,0,0,0.785,0.215,0.785
4175,1,0,0,0.77,0.23,0.77
155,0,1,0,0.315,0.685,0.685
3967,1,0,0,0.67,0.33,0.67
4446,1,0,0,0.555,0.445,0.555
3987,1,0,0,0.835,0.165,0.835
4210,1,0,0,0.54,0.46,0.54
1772,0,1,0,0.325,0.675,0.675
3893,1,0,0,0.765,0.235,0.765
1786,0,1,0,0.455,0.545,0.545
3997,1,0,0,0.61,0.39,0.61
3990,1,0,0,0.64,0.36,0.64
3972,1,0,0,0.625,0.375,0.625
541,0,1,0,0.41,0.59,0.59
4118,1,0,0,0.73,0.27,0.73
380,0,1,0,0.32,0.68,0.68
4203,1,0,0,0.92,0.08,0.92
1491,0,1,0,0.045,0.955,0.955
4044,1,0,0,0.975,0.025,0.975
4452,1,0,0,0.515,0.485,0.515
4165,1,0,0,0.79,0.21,0.79
29,0,1,0,0.295,0.705,0.705
3901,1,0,0,0.615,0.385,0.615
4185,1,0,0,0.65,0.35,0.65
3897,1,0,0,0.865,0.135,0.865
3915,1,0,0,0.855,0.145,0.855
