id,true_label,predicted_label,correct,prob_Stationary,prob_Non-Stationary,confidence
4290,1,0,0,0.83985245,0.16014758,0.83985245
1481,0,1,0,0.13379788,0.8662021,0.8662021
1002,0,1,0,0.4439739,0.5560261,0.5560261
4240,1,0,0,0.5378561,0.46214387,0.5378561
4040,1,0,0,0.9998366,0.0001633645,0.9998366
4085,1,0,0,0.9855754,0.0144246165,0.9855754
4218,1,0,0,0.8352348,0.1647652,0.8352348
4285,1,0,0,0.8837935,0.11620651,0.8837935
1314,0,1,0,0.15563792,0.8443621,0.8443621
4038,1,0,0,0.99875426,0.0012457364,0.99875426
3986,1,0,0,0.98940796,0.0105920555,0.98940796
4175,1,0,0,0.94959444,0.050405547,0.94959444
155,0,1,0,0.1574952,0.8425048,0.8425048
3987,1,0,0,0.9752731,0.024726955,0.9752731
4210,1,0,0,0.98308915,0.01691087,0.98308915
1772,0,1,0,0.12382293,0.8761771,0.8761771
3893,1,0,0,0.94869286,0.051307127,0.94869286
1786,0,1,0,0.467525,0.532475,0.532475
541,0,1,0,0.127437,0.872563,0.872563
4118,1,0,0,0.96244645,0.037553567,0.96244645
380,0,1,0,0.022831202,0.9771688,0.9771688
4203,1,0,0,0.9994884,0.0005116116,0.9994884
1491,0,1,0,0.025489569,0.97451043,0.97451043
4044,1,0,0,0.999948,5.1976396e-05,0.999948
29,0,1,0,0.014595091,0.9854049,0.9854049
4185,1,0,0,0.9592488,0.04075123,0.9592488
3897,1,0,0,0.99755394,0.0024460638,0.99755394
1461,0,1,0,0.30404705,0.69595295,0.69595295
