feature,importance,rank
topo_H1_mean_bin15,6.946000030165274,1
topo_H1_mean_bin58,5.087948076020303,2
topo_H1_mean_bin16,4.3591478613133114,3
topo_H1_mean_bin19,3.616642246707605,4
topo_H1_mean_bin33,3.513507431663561,5
topo_H1_mean_bin22,3.3776069440168333,6
topo_H1_mean_bin18,3.313293195924387,7
topo_H1_mean_bin17,3.292514748052978,8
topo_H1_mean_bin8,2.8703472376907353,9
topo_H1_mean_bin7,2.80654363180318,10
topo_H1_mean_bin11,2.649407674389267,11
topo_H1_mean_bin10,2.451699813702072,12
topo_H1_mean_bin14,2.326291956543227,13
topo_H1_mean_bin13,2.2117456457253986,14
topo_H1_mean_bin24,2.0867776334573036,15
topo_H1_mean_bin20,2.0695969509266625,16
topo_H1_mean_bin23,1.9820350367143487,17
topo_H1_mean_bin27,1.938678461713993,18
topo_H1_mean_bin36,1.818617896745132,19
topo_H1_mean_bin28,1.8044634339558934,20
topo_H1_mean_bin26,1.7733304714726115,21
topo_H1_mean_bin34,1.6906313328366511,22
topo_H1_mean_bin35,1.6525432649392373,23
topo_H1_mean_bin32,1.649318571848639,24
topo_H1_mean_bin31,1.6156934267921794,25
topo_H1_mean_bin55,1.5860900204892563,26
topo_H1_mean_bin39,1.5391200849165032,27
topo_H1_mean_bin12,1.5377147871802788,28
topo_H1_mean_bin47,1.5342197483962452,29
topo_H1_mean_bin49,1.496114219503454,30
topo_H1_mean_bin29,1.4945121672487625,31
topo_H1_mean_bin42,1.4821495390207011,32
topo_H1_mean_bin51,1.4750466054616471,33
topo_H1_mean_bin44,1.4735745509034885,34
topo_H1_mean_bin9,1.415286069484691,35
topo_H1_mean_bin21,1.4108663777728336,36
topo_H1_mean_bin54,1.3551484066227844,37
topo_H1_mean_bin45,1.286465704281466,38
topo_H1_mean_bin41,1.229228643759904,39
topo_H1_mean_bin37,1.2074686415419105,40
topo_H1_mean_bin30,1.1368378860157218,41
topo_H1_mean_bin52,1.1220050763845404,42
topo_H1_mean_bin40,1.0273983381101246,43
topo_H1_mean_bin46,1.0202575812641943,44
topo_H1_mean_bin25,0.9940914867629048,45
topo_H1_mean_bin53,0.975981506187253,46
topo_H1_mean_bin48,0.8776171790994898,47
topo_H1_mean_bin43,0.876110724538698,48
topo_H1_mean_bin50,0.7716670762671742,49
topo_H1_mean_bin38,0.7706446036652062,50
