feature,importance,rank
topo_H1_mean_bin16,0.060431251952871703,1
topo_H1_mean_bin15,0.05706640591770533,2
topo_H1_mean_bin17,0.04675201557543669,3
topo_H1_mean_bin14,0.044605591530770455,4
topo_H1_mean_bin18,0.037847018189781687,5
topo_H1_mean_bin19,0.03506898677541028,6
topo_H1_mean_bin20,0.028574902562774177,7
topo_H1_mean_bin13,0.026623775062714215,8
topo_H1_mean_bin22,0.026156020465736778,9
topo_H1_mean_bin23,0.024039183478994253,10
topo_H1_mean_bin21,0.021930400544842407,11
topo_H1_mean_bin25,0.018586507394189485,12
topo_H1_mean_bin26,0.018231301054239937,13
topo_H1_mean_bin33,0.01781075579011575,14
topo_H1_mean_bin27,0.017282386641125,15
topo_H1_mean_bin12,0.017160034532834007,16
topo_H1_mean_bin24,0.01711978688123402,17
topo_H1_mean_bin58,0.017080894288688437,18
topo_H1_mean_bin35,0.016676065674731382,19
topo_H1_mean_bin11,0.016446215988107117,20
topo_H1_mean_bin28,0.01610199172461718,21
topo_H1_mean_bin38,0.016070470548636317,22
topo_H1_mean_bin29,0.016046246947010828,23
topo_H1_mean_bin7,0.01588301119655248,24
topo_H1_mean_bin8,0.015779094845377182,25
topo_H1_mean_bin10,0.015640924272993333,26
topo_H1_mean_bin32,0.015580353146112868,27
topo_H1_mean_bin55,0.015500354976942304,28
topo_H1_mean_bin31,0.015455816798732327,29
topo_H1_mean_bin30,0.015345680534788853,30
topo_H1_mean_bin39,0.015298262170972092,31
topo_H1_mean_bin40,0.015171776884505737,32
topo_H1_mean_bin45,0.015049640998662487,33
topo_H1_mean_bin47,0.014885284811143078,34
topo_H1_mean_bin34,0.014877128170120357,35
topo_H1_mean_bin54,0.014695293867811243,36
topo_H1_mean_bin9,0.014616798508883628,37
topo_H1_mean_bin36,0.014421797781460357,38
topo_H1_mean_bin46,0.0143610901488562,39
topo_H1_mean_bin37,0.014065584626090935,40
topo_H1_mean_bin53,0.01393869803168196,41
topo_H1_mean_bin48,0.013612438663351626,42
topo_H1_mean_bin41,0.013454979489050674,43
topo_H1_mean_bin43,0.01326491364553656,44
topo_H1_mean_bin52,0.013174834308002736,45
topo_H1_mean_bin42,0.012895034499327544,46
topo_H1_mean_bin51,0.012842850861528053,47
topo_H1_mean_bin44,0.012473440940563938,48
topo_H1_mean_bin49,0.01231492086037593,49
topo_H1_mean_bin50,0.01169178543800805,50
