feature,importance,rank
topo_H1_mean_bin16,0.11664737,1
topo_H1_mean_bin17,0.069752395,2
topo_H1_mean_bin19,0.034919955,3
topo_H1_mean_bin39,0.026237043,4
topo_H1_mean_bin18,0.02461461,5
topo_H1_mean_bin23,0.023579955,6
topo_H1_mean_bin41,0.022766542,7
topo_H1_mean_bin15,0.021533728,8
topo_H1_mean_bin35,0.020337973,9
topo_H1_mean_bin13,0.020200904,10
topo_H1_mean_bin26,0.020144822,11
topo_H1_mean_bin58,0.019451285,12
topo_H1_mean_bin33,0.018965075,13
topo_H1_mean_bin55,0.018851545,14
topo_H1_mean_bin45,0.018181004,15
topo_H1_mean_bin27,0.017988492,16
topo_H1_mean_bin7,0.017611722,17
topo_H1_mean_bin20,0.017539304,18
topo_H1_mean_bin21,0.017421817,19
topo_H1_mean_bin53,0.017352019,20
topo_H1_mean_bin31,0.016814502,21
topo_H1_mean_bin36,0.01668814,22
topo_H1_mean_bin40,0.016632684,23
topo_H1_mean_bin8,0.016435979,24
topo_H1_mean_bin12,0.016339699,25
topo_H1_mean_bin44,0.016231243,26
topo_H1_mean_bin9,0.016140927,27
topo_H1_mean_bin37,0.015808443,28
topo_H1_mean_bin29,0.015510399,29
topo_H1_mean_bin10,0.015451373,30
topo_H1_mean_bin24,0.015338076,31
topo_H1_mean_bin51,0.0152969295,32
topo_H1_mean_bin14,0.015270671,33
topo_H1_mean_bin28,0.015031801,34
topo_H1_mean_bin38,0.014806886,35
topo_H1_mean_bin25,0.014661631,36
topo_H1_mean_bin47,0.014478889,37
topo_H1_mean_bin22,0.014314197,38
topo_H1_mean_bin11,0.014271602,39
topo_H1_mean_bin54,0.014255893,40
topo_H1_mean_bin43,0.014001463,41
topo_H1_mean_bin42,0.013837677,42
topo_H1_mean_bin32,0.013376629,43
topo_H1_mean_bin46,0.013292676,44
topo_H1_mean_bin49,0.012976463,45
topo_H1_mean_bin34,0.012527096,46
topo_H1_mean_bin48,0.012390157,47
topo_H1_mean_bin52,0.011843155,48
topo_H1_mean_bin30,0.0110093905,49
topo_H1_mean_bin50,0.010867673,50
