id,true_label,predicted_label,correct,prob_Stationary,prob_Non-Stationary,confidence
4783,1,0,0,0.63,0.37,0.63
2397,0,1,0,0.46,0.54,0.54
1572,0,1,0,0.48,0.52,0.52
4548,1,0,0,0.53,0.47,0.53
4389,1,0,0,0.56,0.44,0.56
3091,1,0,0,0.625,0.375,0.625
2631,1,0,0,0.72,0.28,0.72
1864,0,1,0,0.425,0.575,0.575
1083,0,1,0,0.46,0.54,0.54
1672,0,1,0,0.47,0.53,0.53
3307,1,0,0,0.625,0.375,0.625
2664,1,0,0,0.605,0.395,0.605
2679,1,0,0,0.785,0.215,0.785
1268,0,1,0,0.47,0.53,0.53
1555,0,1,0,0.365,0.635,0.635
203,0,1,0,0.27,0.73,0.73
4462,1,0,0,0.82,0.18,0.82
3805,1,0,0,0.545,0.455,0.545
4195,1,0,0,0.515,0.485,0.515
596,0,1,0,0.355,0.645,0.645
4280,1,0,0,0.51,0.49,0.51
161,0,1,0,0.465,0.535,0.535
4550,1,0,0,0.76,0.24,0.76
1325,0,1,0,0.465,0.535,0.535
3263,1,0,0,0.575,0.425,0.575
4255,1,0,0,0.81,0.19,0.81
4345,1,0,0,0.77,0.23,0.77
3384,1,0,0,0.77,0.23,0.77
751,0,1,0,0.495,0.505,0.505
4329,1,0,0,0.705,0.295,0.705
1497,0,1,0,0.495,0.505,0.505
682,0,1,0,0.455,0.545,0.545
36,0,1,0,0.175,0.825,0.825
2086,0,1,0,0.45,0.55,0.55
397,0,1,0,0.37,0.63,0.63
1351,0,1,0,0.345,0.655,0.655
1788,0,1,0,0.195,0.805,0.805
3430,1,0,0,0.765,0.235,0.765
4562,1,0,0,0.62,0.38,0.62
3291,1,0,0,0.535,0.465,0.535
2573,1,0,0,0.505,0.495,0.505
357,0,1,0,0.06,0.94,0.94
1151,0,1,0,0.46,0.54,0.54
4828,1,0,0,0.56,0.44,0.56
1061,0,1,0,0.45,0.55,0.55
37,0,1,0,0.475,0.525,0.525
4472,1,0,0,0.655,0.345,0.655
792,0,1,0,0.29,0.71,0.71
4454,1,0,0,0.72,0.28,0.72
1155,0,1,0,0.34,0.66,0.66
2860,1,0,0,0.735,0.265,0.735
2897,1,0,0,0.74,0.26,0.74
413,0,1,0,0.37,0.63,0.63
4453,1,0,0,0.825,0.175,0.825
2625,1,0,0,0.625,0.375,0.625
242,0,1,0,0.08,0.92,0.92
2899,1,0,0,0.62,0.38,0.62
4198,1,0,0,0.52,0.48,0.52
1159,0,1,0,0.455,0.545,0.545
1046,0,1,0,0.34,0.66,0.66
1441,0,1,0,0.465,0.535,0.535
3008,1,0,0,0.82,0.18,0.82
4530,1,0,0,0.56,0.44,0.56
503,0,1,0,0.45,0.55,0.55
4532,1,0,0,0.615,0.385,0.615
4871,1,0,0,0.535,0.465,0.535
4190,1,0,0,0.575,0.425,0.575
4928,1,0,0,0.545,0.455,0.545
2611,1,0,0,0.52,0.48,0.52
2268,0,1,0,0.23,0.77,0.77
3239,1,0,0,0.66,0.34,0.66
3324,1,0,0,0.57,0.43,0.57
1523,0,1,0,0.32,0.68,0.68
1094,0,1,0,0.355,0.645,0.645
2328,0,1,0,0.48,0.52,0.52
3898,1,0,0,0.91,0.09,0.91
2382,0,1,0,0.21,0.79,0.79
3056,1,0,0,0.625,0.375,0.625
3362,1,0,0,0.58,0.42,0.58
4471,1,0,0,0.535,0.465,0.535
2753,1,0,0,0.91,0.09,0.91
4634,1,0,0,0.535,0.465,0.535
4585,1,0,0,0.62,0.38,0.62
2471,0,1,0,0.21,0.79,0.79
4623,1,0,0,0.645,0.355,0.645
4282,1,0,0,0.65,0.35,0.65
3135,1,0,0,0.795,0.205,0.795
4920,1,0,0,0.51,0.49,0.51
1009,0,1,0,0.485,0.515,0.515
128,0,1,0,0.495,0.505,0.505
4791,1,0,0,0.67,0.33,0.67
2708,1,0,0,0.655,0.345,0.655
4787,1,0,0,0.81,0.19,0.81
2772,1,0,0,0.55,0.45,0.55
4312,1,0,0,0.7,0.3,0.7
3496,1,0,0,0.78,0.22,0.78
2867,1,0,0,0.745,0.255,0.745
4501,1,0,0,0.835,0.165,0.835
3336,1,0,0,0.54,0.46,0.54
3074,1,0,0,0.585,0.415,0.585
2689,1,0,0,0.725,0.275,0.725
4326,1,0,0,0.78,0.22,0.78
2667,1,0,0,0.585,0.415,0.585
1842,0,1,0,0.495,0.505,0.505
4237,1,0,0,0.57,0.43,0.57
3885,1,0,0,0.675,0.325,0.675
1857,0,1,0,0.175,0.825,0.825
4497,1,0,0,0.645,0.355,0.645
3001,1,0,0,0.645,0.355,0.645
2577,1,0,0,0.66,0.34,0.66
3391,1,0,0,0.51,0.49,0.51
1077,0,1,0,0.46,0.54,0.54
4737,1,0,0,0.52,0.48,0.52
2681,1,0,0,0.74,0.26,0.74
4642,1,0,0,0.815,0.185,0.815
3481,1,0,0,0.855,0.145,0.855
4327,1,0,0,0.59,0.41,0.59
1811,0,1,0,0.25,0.75,0.75
2630,1,0,0,0.57,0.43,0.57
1517,0,1,0,0.41,0.59,0.59
4219,1,0,0,0.59,0.41,0.59
4126,1,0,0,0.815,0.185,0.815
3893,1,0,0,0.76,0.24,0.76
3037,1,0,0,0.515,0.485,0.515
4506,1,0,0,0.67,0.33,0.67
4209,1,0,0,0.775,0.225,0.775
1444,0,1,0,0.495,0.505,0.505
2551,1,0,0,0.605,0.395,0.605
564,0,1,0,0.39,0.61,0.61
99,0,1,0,0.465,0.535,0.535
3987,1,0,0,0.835,0.165,0.835
1167,0,1,0,0.395,0.605,0.605
1181,0,1,0,0.475,0.525,0.525
4474,1,0,0,0.535,0.465,0.535
881,0,1,0,0.405,0.595,0.595
4408,1,0,0,0.57,0.43,0.57
254,0,1,0,0.44,0.56,0.56
4433,1,0,0,0.58,0.42,0.58
4117,1,0,0,0.58,0.42,0.58
4498,1,0,0,0.705,0.295,0.705
226,0,1,0,0.455,0.545,0.545
3158,1,0,0,0.555,0.445,0.555
4375,1,0,0,0.57,0.43,0.57
1679,0,1,0,0.235,0.765,0.765
4075,1,0,0,0.62,0.38,0.62
4419,1,0,0,0.72,0.28,0.72
3469,1,0,0,0.78,0.22,0.78
4406,1,0,0,0.645,0.355,0.645
155,0,1,0,0.32,0.68,0.68
4404,1,0,0,0.655,0.345,0.655
1665,0,1,0,0.24,0.76,0.76
4328,1,0,0,0.51,0.49,0.51
4505,1,0,0,0.655,0.345,0.655
4492,1,0,0,0.685,0.315,0.685
4522,1,0,0,0.705,0.295,0.705
921,0,1,0,0.465,0.535,0.535
4480,1,0,0,0.7,0.3,0.7
4250,1,0,0,0.505,0.495,0.505
2638,1,0,0,0.64,0.36,0.64
2686,1,0,0,0.725,0.275,0.725
2713,1,0,0,0.535,0.465,0.535
3915,1,0,0,0.79,0.21,0.79
3079,1,0,0,0.75,0.25,0.75
4299,1,0,0,0.775,0.225,0.775
4564,1,0,0,0.75,0.25,0.75
2787,1,0,0,0.55,0.45,0.55
2656,1,0,0,0.825,0.175,0.825
1168,0,1,0,0.27,0.73,0.73
4182,1,0,0,0.705,0.295,0.705
4489,1,0,0,0.715,0.285,0.715
4965,1,0,0,0.575,0.425,0.575
878,0,1,0,0.315,0.685,0.685
1650,0,1,0,0.47,0.53,0.53
401,0,1,0,0.315,0.685,0.685
4694,1,0,0,0.785,0.215,0.785
3052,1,0,0,0.7,0.3,0.7
4493,1,0,0,0.88,0.12,0.88
4338,1,0,0,0.52,0.48,0.52
3493,1,0,0,0.52,0.48,0.52
2874,1,0,0,0.52,0.48,0.52
4524,1,0,0,0.73,0.27,0.73
4274,1,0,0,0.775,0.225,0.775
2534,1,0,0,0.605,0.395,0.605
302,0,1,0,0.215,0.785,0.785
4376,1,0,0,0.66,0.34,0.66
4245,1,0,0,0.585,0.415,0.585
4509,1,0,0,0.735,0.265,0.735
2066,0,1,0,0.475,0.525,0.525
269,0,1,0,0.095,0.905,0.905
380,0,1,0,0.145,0.855,0.855
4500,1,0,0,0.81,0.19,0.81
1760,0,1,0,0.465,0.535,0.535
4600,1,0,0,0.635,0.365,0.635
4584,1,0,0,0.645,0.355,0.645
4418,1,0,0,0.82,0.18,0.82
861,0,1,0,0.44,0.56,0.56
3359,1,0,0,0.695,0.305,0.695
1759,0,1,0,0.48,0.52,0.52
3154,1,0,0,0.625,0.375,0.625
4393,1,0,0,0.685,0.315,0.685
201,0,1,0,0.23,0.77,0.77
4343,1,0,0,0.79,0.21,0.79
4410,1,0,0,0.82,0.18,0.82
4776,1,0,0,0.69,0.31,0.69
2355,0,1,0,0.44,0.56,0.56
4334,1,0,0,0.87,0.13,0.87
1882,0,1,0,0.47,0.53,0.53
4478,1,0,0,0.72,0.28,0.72
4244,1,0,0,0.72,0.28,0.72
3392,1,0,0,0.88,0.12,0.88
3460,1,0,0,0.59,0.41,0.59
4546,1,0,0,0.565,0.435,0.565
3437,1,0,0,0.535,0.465,0.535
3198,1,0,0,0.62,0.38,0.62
816,0,1,0,0.195,0.805,0.805
1391,0,1,0,0.34,0.66,0.66
2489,0,1,0,0.315,0.685,0.685
4411,1,0,0,0.66,0.34,0.66
3186,1,0,0,0.665,0.335,0.665
3483,1,0,0,0.805,0.195,0.805
4242,1,0,0,0.525,0.475,0.525
4202,1,0,0,0.58,0.42,0.58
993,0,1,0,0.385,0.615,0.615
2310,0,1,0,0.245,0.755,0.755
1891,0,1,0,0.455,0.545,0.545
2458,0,1,0,0.43,0.57,0.57
4082,1,0,0,0.8,0.2,0.8
4431,1,0,0,0.83,0.17,0.83
4407,1,0,0,0.545,0.455,0.545
780,0,1,0,0.335,0.665,0.665
162,0,1,0,0.125,0.875,0.875
876,0,1,0,0.39,0.61,0.61
4639,1,0,0,0.675,0.325,0.675
4520,1,0,0,0.685,0.315,0.685
3438,1,0,0,0.715,0.285,0.715
4360,1,0,0,0.82,0.18,0.82
4361,1,0,0,0.75,0.25,0.75
3950,1,0,0,0.525,0.475,0.525
1153,0,1,0,0.335,0.665,0.665
4220,1,0,0,0.565,0.435,0.565
2946,1,0,0,0.525,0.475,0.525
3945,1,0,0,0.555,0.445,0.555
4304,1,0,0,0.8,0.2,0.8
4448,1,0,0,0.845,0.155,0.845
2528,1,0,0,0.65,0.35,0.65
246,0,1,0,0.485,0.515,0.515
4392,1,0,0,0.665,0.335,0.665
2692,1,0,0,0.785,0.215,0.785
3142,1,0,0,0.535,0.465,0.535
4458,1,0,0,0.555,0.445,0.555
624,0,1,0,0.39,0.61,0.61
831,0,1,0,0.415,0.585,0.585
748,0,1,0,0.465,0.535,0.535
3187,1,0,0,0.765,0.235,0.765
