id,true_label,predicted_label,correct,prob_Stationary,prob_Non-Stationary,confidence
4783,1,0,0,0.6937818,0.3062182,0.6937818
601,0,1,0,0.49675262,0.5032474,0.5032474
2397,0,1,0,0.12785864,0.87214136,0.87214136
2892,1,0,0,0.64396787,0.3560321,0.64396787
4389,1,0,0,0.5870657,0.41293433,0.5870657
3091,1,0,0,0.8285457,0.17145434,0.8285457
2631,1,0,0,0.9307615,0.06923846,0.9307615
1083,0,1,0,0.048748434,0.95125157,0.95125157
3307,1,0,0,0.9795734,0.020426579,0.9795734
2664,1,0,0,0.6899226,0.31007743,0.6899226
1116,0,1,0,0.058401883,0.9415981,0.9415981
2679,1,0,0,0.8592077,0.14079231,0.8592077
1268,0,1,0,0.48076093,0.51923907,0.51923907
1555,0,1,0,0.02043426,0.97956574,0.97956574
1192,0,1,0,0.19368255,0.80631745,0.80631745
203,0,1,0,0.031103492,0.9688965,0.9688965
4462,1,0,0,0.97336996,0.026630063,0.97336996
3805,1,0,0,0.66561097,0.33438903,0.66561097
493,0,1,0,0.25178462,0.7482154,0.7482154
4195,1,0,0,0.7466401,0.25335988,0.7466401
217,0,1,0,0.41748482,0.5825152,0.5825152
596,0,1,0,0.26670057,0.73329943,0.73329943
4280,1,0,0,0.9262492,0.07375078,0.9262492
4550,1,0,0,0.9433682,0.056631826,0.9433682
4255,1,0,0,0.9560474,0.04395261,0.9560474
4345,1,0,0,0.9953939,0.0046061035,0.9953939
4285,1,0,0,0.953185,0.046814956,0.953185
3384,1,0,0,0.830577,0.169423,0.830577
751,0,1,0,0.49064618,0.5093538,0.5093538
838,0,1,0,0.39989614,0.60010386,0.60010386
4329,1,0,0,0.79765713,0.2023429,0.79765713
682,0,1,0,0.28065997,0.71934,0.71934
1970,0,1,0,0.33021867,0.6697813,0.6697813
3942,1,0,0,0.6356096,0.3643904,0.6356096
36,0,1,0,0.0012597442,0.99874026,0.99874026
2028,0,1,0,0.11532909,0.8846709,0.8846709
1896,0,1,0,0.4580701,0.5419299,0.5419299
2086,0,1,0,0.27961165,0.72038835,0.72038835
397,0,1,0,0.25462335,0.74537665,0.74537665
1351,0,1,0,0.18233591,0.8176641,0.8176641
1788,0,1,0,0.011667073,0.9883329,0.9883329
3430,1,0,0,0.9368006,0.06319943,0.9368006
4562,1,0,0,0.66427565,0.33572432,0.66427565
3291,1,0,0,0.80888927,0.19111073,0.80888927
2254,0,1,0,0.2563612,0.7436388,0.7436388
3104,1,0,0,0.70079607,0.29920393,0.70079607
357,0,1,0,0.002742827,0.9972572,0.9972572
1151,0,1,0,0.42395324,0.57604676,0.57604676
4828,1,0,0,0.9518741,0.048125945,0.9518741
2878,1,0,0,0.85462815,0.14537185,0.85462815
3415,1,0,0,0.54407835,0.45592168,0.54407835
1061,0,1,0,0.20909756,0.79090244,0.79090244
37,0,1,0,0.029219866,0.97078013,0.97078013
4472,1,0,0,0.79360294,0.20639707,0.79360294
792,0,1,0,0.028578103,0.9714219,0.9714219
854,0,1,0,0.14537442,0.8546256,0.8546256
3465,1,0,0,0.6382593,0.3617407,0.6382593
4454,1,0,0,0.946942,0.053058006,0.946942
1155,0,1,0,0.4471944,0.5528056,0.5528056
1389,0,1,0,0.41987848,0.5801215,0.5801215
2860,1,0,0,0.9163157,0.08368431,0.9163157
2897,1,0,0,0.9793995,0.020600492,0.9793995
1022,0,1,0,0.4012668,0.5987332,0.5987332
413,0,1,0,0.38609266,0.61390734,0.61390734
4453,1,0,0,0.9770932,0.022906804,0.9770932
2625,1,0,0,0.8789462,0.12105383,0.8789462
242,0,1,0,0.006652057,0.99334794,0.99334794
2899,1,0,0,0.91036445,0.08963555,0.91036445
4198,1,0,0,0.5437669,0.45623308,0.5437669
1159,0,1,0,0.24164236,0.75835764,0.75835764
640,0,1,0,0.09108609,0.9089139,0.9089139
1046,0,1,0,0.0001295805,0.9998704,0.9998704
3191,1,0,0,0.8786275,0.12137251,0.8786275
3008,1,0,0,0.98127073,0.01872928,0.98127073
4530,1,0,0,0.8923177,0.107682265,0.8923177
4267,1,0,0,0.7680674,0.23193258,0.7680674
503,0,1,0,0.0758065,0.9241935,0.9241935
4532,1,0,0,0.84683394,0.15316607,0.84683394
4871,1,0,0,0.64498913,0.35501084,0.64498913
4190,1,0,0,0.7841997,0.21580026,0.7841997
4558,1,0,0,0.5580751,0.4419249,0.5580751
2611,1,0,0,0.69197965,0.30802035,0.69197965
2268,0,1,0,0.0006760359,0.99932396,0.99932396
3324,1,0,0,0.7319108,0.26808918,0.7319108
1523,0,1,0,0.069410205,0.9305898,0.9305898
1094,0,1,0,0.07135749,0.9286425,0.9286425
1239,0,1,0,0.43709987,0.5629001,0.5629001
3898,1,0,0,0.9898904,0.010109595,0.9898904
2382,0,1,0,0.013268173,0.9867318,0.9867318
3056,1,0,0,0.5342245,0.46577552,0.5342245
3362,1,0,0,0.91718376,0.08281624,0.91718376
2753,1,0,0,0.9952729,0.004727126,0.9952729
4634,1,0,0,0.7997356,0.20026441,0.7997356
2639,1,0,0,0.75434387,0.24565612,0.75434387
4585,1,0,0,0.65565985,0.34434015,0.65565985
2471,0,1,0,0.27352768,0.7264723,0.7264723
4623,1,0,0,0.79933435,0.20066567,0.79933435
4282,1,0,0,0.8124087,0.18759133,0.8124087
3135,1,0,0,0.85705316,0.14294684,0.85705316
4920,1,0,0,0.66561234,0.33438766,0.66561234
1649,0,1,0,0.4821244,0.5178756,0.5178756
2934,1,0,0,0.7191696,0.28083035,0.7191696
1009,0,1,0,0.3397944,0.6602056,0.6602056
128,0,1,0,0.3555423,0.6444577,0.6444577
4791,1,0,0,0.96778524,0.03221476,0.96778524
2708,1,0,0,0.884964,0.11503598,0.884964
4787,1,0,0,0.9935423,0.006457696,0.9935423
2772,1,0,0,0.65945303,0.340547,0.65945303
2279,0,1,0,0.2567178,0.7432822,0.7432822
4312,1,0,0,0.96567744,0.034322534,0.96567744
3496,1,0,0,0.88274527,0.117254734,0.88274527
2867,1,0,0,0.9307236,0.06927641,0.9307236
4501,1,0,0,0.9992457,0.00075431407,0.9992457
1664,0,1,0,0.38427633,0.61572367,0.61572367
733,0,1,0,0.38430816,0.61569184,0.61569184
2689,1,0,0,0.90547216,0.09452787,0.90547216
4326,1,0,0,0.92308575,0.07691426,0.92308575
2667,1,0,0,0.66941035,0.33058965,0.66941035
1842,0,1,0,0.48399603,0.51600397,0.51600397
4237,1,0,0,0.6050526,0.39494738,0.6050526
3885,1,0,0,0.9318718,0.068128206,0.9318718
1857,0,1,0,0.020359337,0.97964066,0.97964066
2538,1,0,0,0.7875918,0.21240817,0.7875918
2657,1,0,0,0.94351035,0.05648967,0.94351035
4497,1,0,0,0.9751902,0.024809798,0.9751902
3001,1,0,0,0.7459821,0.2540179,0.7459821
3391,1,0,0,0.8069579,0.19304211,0.8069579
1077,0,1,0,0.15978628,0.8402137,0.8402137
3018,1,0,0,0.9127339,0.08726609,0.9127339
2681,1,0,0,0.81319463,0.18680535,0.81319463
4642,1,0,0,0.95749277,0.04250724,0.95749277
3481,1,0,0,0.970505,0.029495012,0.970505
4327,1,0,0,0.6782967,0.32170328,0.6782967
1811,0,1,0,0.07902002,0.92098,0.92098
852,0,1,0,0.17997366,0.82002634,0.82002634
1517,0,1,0,0.41562885,0.58437115,0.58437115
4126,1,0,0,0.8648046,0.13519537,0.8648046
3893,1,0,0,0.7117765,0.28822348,0.7117765
3037,1,0,0,0.7647499,0.23525015,0.7647499
4506,1,0,0,0.6303506,0.3696494,0.6303506
4209,1,0,0,0.86292386,0.13707612,0.86292386
1705,0,1,0,0.42796868,0.5720313,0.5720313
2551,1,0,0,0.5420063,0.4579937,0.5420063
564,0,1,0,0.4977392,0.5022608,0.5022608
99,0,1,0,0.07852095,0.92147905,0.92147905
3987,1,0,0,0.97531694,0.024683038,0.97531694
1167,0,1,0,0.15250224,0.84749776,0.84749776
4474,1,0,0,0.98528767,0.01471234,0.98528767
4046,1,0,0,0.8996293,0.100370705,0.8996293
4674,1,0,0,0.5674409,0.43255907,0.5674409
254,0,1,0,0.118073404,0.8819266,0.8819266
4433,1,0,0,0.81562656,0.18437345,0.81562656
4117,1,0,0,0.67242783,0.32757217,0.67242783
3248,1,0,0,0.69938123,0.30061877,0.69938123
1769,0,1,0,0.10014069,0.8998593,0.8998593
4498,1,0,0,0.74976397,0.25023606,0.74976397
226,0,1,0,0.025027812,0.9749722,0.9749722
3158,1,0,0,0.63495624,0.3650438,0.63495624
972,0,1,0,0.27131724,0.72868276,0.72868276
4375,1,0,0,0.53028846,0.4697115,0.53028846
1679,0,1,0,0.024570465,0.97542953,0.97542953
4075,1,0,0,0.784525,0.21547502,0.784525
4419,1,0,0,0.97552216,0.02447781,0.97552216
3469,1,0,0,0.92755044,0.07244957,0.92755044
4406,1,0,0,0.9814868,0.018513212,0.9814868
3922,1,0,0,0.6349758,0.3650242,0.6349758
155,0,1,0,0.13292772,0.8670723,0.8670723
3401,1,0,0,0.8171077,0.18289235,0.8171077
4404,1,0,0,0.87389296,0.12610702,0.87389296
1665,0,1,0,0.04424554,0.95575446,0.95575446
4505,1,0,0,0.9675043,0.032495666,0.9675043
4402,1,0,0,0.7858664,0.21413364,0.7858664
2069,0,1,0,0.07577592,0.9242241,0.9242241
3367,1,0,0,0.5665947,0.43340528,0.5665947
3015,1,0,0,0.88671446,0.11328557,0.88671446
3168,1,0,0,0.5016142,0.49838582,0.5016142
4492,1,0,0,0.86210316,0.13789684,0.86210316
445,0,1,0,0.20873117,0.7912688,0.7912688
4522,1,0,0,0.9295067,0.0704933,0.9295067
4480,1,0,0,0.93401,0.065989986,0.93401
4250,1,0,0,0.7618633,0.23813672,0.7618633
2638,1,0,0,0.9110657,0.08893432,0.9110657
2686,1,0,0,0.55972064,0.4402794,0.55972064
3915,1,0,0,0.99051976,0.009480227,0.99051976
973,0,1,0,0.43867153,0.5613285,0.5613285
3079,1,0,0,0.97546977,0.024530223,0.97546977
4299,1,0,0,0.954429,0.04557101,0.954429
649,0,1,0,0.4033208,0.5966792,0.5966792
4564,1,0,0,0.92243934,0.07756066,0.92243934
1854,0,1,0,0.32820326,0.67179674,0.67179674
2787,1,0,0,0.5698523,0.4301477,0.5698523
1817,0,1,0,0.34973878,0.6502612,0.6502612
1168,0,1,0,0.042719603,0.9572804,0.9572804
4182,1,0,0,0.8949386,0.1050614,0.8949386
4489,1,0,0,0.73468554,0.26531443,0.73468554
878,0,1,0,0.09400183,0.9059982,0.9059982
401,0,1,0,0.05174178,0.9482582,0.9482582
4694,1,0,0,0.94562274,0.054377247,0.94562274
4188,1,0,0,0.6177121,0.38228792,0.6177121
3052,1,0,0,0.6385528,0.3614472,0.6385528
4493,1,0,0,0.9932355,0.00676446,0.9932355
2243,0,1,0,0.05595821,0.9440418,0.9440418
3493,1,0,0,0.6067899,0.3932101,0.6067899
2874,1,0,0,0.55580497,0.44419506,0.55580497
4524,1,0,0,0.77073437,0.22926562,0.77073437
4274,1,0,0,0.82756484,0.17243513,0.82756484
2534,1,0,0,0.80522835,0.19477168,0.80522835
302,0,1,0,0.00053197145,0.999468,0.999468
2192,0,1,0,0.43522263,0.5647774,0.5647774
4376,1,0,0,0.9048046,0.0951954,0.9048046
4245,1,0,0,0.74580425,0.25419575,0.74580425
4509,1,0,0,0.9718411,0.028158916,0.9718411
2206,0,1,0,0.40048712,0.5995129,0.5995129
269,0,1,0,0.002336502,0.9976635,0.9976635
380,0,1,0,0.093019724,0.9069803,0.9069803
4500,1,0,0,0.97116196,0.028838024,0.97116196
1760,0,1,0,0.29653955,0.70346045,0.70346045
4600,1,0,0,0.6745134,0.3254866,0.6745134
4584,1,0,0,0.5856143,0.4143857,0.5856143
3194,1,0,0,0.5611694,0.43883058,0.5611694
4418,1,0,0,0.9495187,0.050481316,0.9495187
861,0,1,0,0.2216366,0.7783634,0.7783634
3359,1,0,0,0.94538015,0.05461983,0.94538015
1759,0,1,0,0.41193938,0.5880606,0.5880606
3154,1,0,0,0.8536724,0.1463276,0.8536724
511,0,1,0,0.1405468,0.8594532,0.8594532
4393,1,0,0,0.93275714,0.06724288,0.93275714
201,0,1,0,0.076027155,0.92397285,0.92397285
3920,1,0,0,0.8214187,0.17858131,0.8214187
4343,1,0,0,0.91918194,0.08081809,0.91918194
4410,1,0,0,0.9583974,0.041602593,0.9583974
4776,1,0,0,0.7057553,0.2942447,0.7057553
4334,1,0,0,0.9826897,0.017310329,0.9826897
1882,0,1,0,0.25414515,0.74585485,0.74585485
2238,0,1,0,0.099589586,0.9004104,0.9004104
4478,1,0,0,0.8968235,0.103176445,0.8968235
4244,1,0,0,0.95019627,0.049803734,0.95019627
3392,1,0,0,0.98249286,0.01750713,0.98249286
3198,1,0,0,0.9162538,0.08374619,0.9162538
816,0,1,0,0.05241704,0.94758296,0.94758296
2489,0,1,0,0.13723314,0.86276686,0.86276686
4411,1,0,0,0.8355555,0.1644445,0.8355555
525,0,1,0,0.44697726,0.55302274,0.55302274
3186,1,0,0,0.7854974,0.21450257,0.7854974
3483,1,0,0,0.80949277,0.19050725,0.80949277
3150,1,0,0,0.68434954,0.3156505,0.68434954
4242,1,0,0,0.92017317,0.07982682,0.92017317
1528,0,1,0,0.22872955,0.77127045,0.77127045
718,0,1,0,0.15789354,0.84210646,0.84210646
144,0,1,0,0.38810092,0.6118991,0.6118991
47,0,1,0,0.4388246,0.5611754,0.5611754
2450,0,1,0,0.43318295,0.56681705,0.56681705
993,0,1,0,0.050432146,0.94956785,0.94956785
4435,1,0,0,0.60574496,0.39425504,0.60574496
2310,0,1,0,0.1562835,0.8437165,0.8437165
1891,0,1,0,0.17735696,0.82264304,0.82264304
2458,0,1,0,0.12893486,0.87106514,0.87106514
4082,1,0,0,0.9815045,0.018495502,0.9815045
1786,0,1,0,0.48069328,0.5193067,0.5193067
4431,1,0,0,0.99636275,0.003637276,0.99636275
4407,1,0,0,0.94195354,0.05804645,0.94195354
780,0,1,0,0.21832621,0.7816738,0.7816738
162,0,1,0,0.02412796,0.97587204,0.97587204
876,0,1,0,0.06546348,0.9345365,0.9345365
4639,1,0,0,0.88404036,0.115959644,0.88404036
4520,1,0,0,0.91286623,0.08713374,0.91286623
3438,1,0,0,0.97960824,0.020391772,0.97960824
4360,1,0,0,0.99439406,0.0056059333,0.99439406
4361,1,0,0,0.649478,0.35052198,0.649478
1153,0,1,0,0.020591319,0.9794087,0.9794087
4220,1,0,0,0.7483965,0.25160348,0.7483965
1543,0,1,0,0.32454556,0.67545444,0.67545444
4304,1,0,0,0.94415253,0.05584744,0.94415253
4448,1,0,0,0.99661785,0.00338214,0.99661785
2528,1,0,0,0.7824146,0.21758537,0.7824146
246,0,1,0,0.4807107,0.5192893,0.5192893
4392,1,0,0,0.70215404,0.29784596,0.70215404
2692,1,0,0,0.8382728,0.16172718,0.8382728
3142,1,0,0,0.5483908,0.4516092,0.5483908
4458,1,0,0,0.5570603,0.4429397,0.5570603
4473,1,0,0,0.80808085,0.19191913,0.80808085
624,0,1,0,0.028785467,0.97121453,0.97121453
831,0,1,0,0.18530685,0.81469315,0.81469315
3187,1,0,0,0.96671003,0.033289973,0.96671003
