model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost,1.0,1.0,accuracy,1.1315155029296875,0.062184810638427734,4.150981903076172,1.1315155029296875,0.062184810638427734,4.150981903076172,1,True,9
WeightedEnsemble_L2,1.0,1.0,accuracy,1.1348557472229004,0.06293511390686035,4.205712080001831,0.0033402442932128906,0.0007503032684326172,0.05473017692565918,2,True,12
LightGBMLarge,0.9999346704122297,1.0,accuracy,0.10394501686096191,0.014396190643310547,16.883427143096924,0.10394501686096191,0.014396190643310547,16.883427143096924,1,True,11
NeuralNetTorch,0.9999346704122297,0.999346832135859,accuracy,1.2568869590759277,0.1752471923828125,58.63242769241333,1.2568869590759277,0.1752471923828125,58.63242769241333,1,True,10
LightGBMXT,0.9998693408244594,1.0,accuracy,0.07565498352050781,0.00948953628540039,7.651963472366333,0.07565498352050781,0.00948953628540039,7.651963472366333,1,True,1
LightGBM,0.999804011236689,1.0,accuracy,0.08481526374816895,0.008763790130615234,3.251063346862793,0.08481526374816895,0.008763790130615234,3.251063346862793,1,True,2
RandomForestGini,0.999804011236689,0.9980404964075767,accuracy,0.4614598751068115,0.32834815979003906,3.468291997909546,0.4614598751068115,0.32834815979003906,3.468291997909546,1,True,3
NeuralNetFastAI,0.9997386816489188,1.0,accuracy,1.2371060848236084,0.08081674575805664,26.257609128952026,1.2371060848236084,0.08081674575805664,26.257609128952026,1,True,8
ExtraTreesEntr,0.999346704122297,0.9934683213585892,accuracy,0.5014164447784424,0.30696535110473633,2.840928792953491,0.5014164447784424,0.30696535110473633,2.840928792953491,1,True,7
CatBoost,0.9992813745345267,1.0,accuracy,0.043968915939331055,0.018378257751464844,9.29073166847229,0.043968915939331055,0.018378257751464844,9.29073166847229,1,True,5
RandomForestEntr,0.9992813745345267,0.992815153494448,accuracy,0.48157429695129395,0.36159729957580566,2.8141207695007324,0.48157429695129395,0.36159729957580566,2.8141207695007324,1,True,4
ExtraTreesGini,0.9992813745345267,0.992815153494448,accuracy,0.49140191078186035,0.3317420482635498,2.321221351623535,0.49140191078186035,0.3317420482635498,2.321221351623535,1,True,6
