model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMXT,1.0,1.0,accuracy,0.007275104522705078,0.0027036666870117188,7.337463855743408,0.007275104522705078,0.0027036666870117188,7.337463855743408,1,True,1
CatBoost,1.0,1.0,accuracy,0.02214193344116211,0.006455183029174805,3.426934242248535,0.02214193344116211,0.006455183029174805,3.426934242248535,1,True,5
WeightedEnsemble_L2,1.0,1.0,accuracy,0.02424764633178711,0.007149457931518555,3.4817516803741455,0.002105712890625,0.00069427490234375,0.05481743812561035,2,True,12
XGBoost,1.0,1.0,accuracy,0.10208392143249512,0.01448965072631836,0.8238110542297363,0.10208392143249512,0.01448965072631836,0.8238110542297363,1,True,9
NeuralNetTorch,1.0,1.0,accuracy,0.21019220352172852,0.035009145736694336,12.753636360168457,0.21019220352172852,0.035009145736694336,12.753636360168457,1,True,10
RandomForestGini,1.0,1.0,accuracy,0.3642144203186035,0.3042910099029541,2.203993797302246,0.3642144203186035,0.3042910099029541,2.203993797302246,1,True,3
RandomForestEntr,1.0,1.0,accuracy,0.3764815330505371,0.2979319095611572,1.9978833198547363,0.3764815330505371,0.2979319095611572,1.9978833198547363,1,True,4
LightGBMLarge,0.9999346704122297,1.0,accuracy,0.0050771236419677734,0.0035436153411865234,7.573224067687988,0.0050771236419677734,0.0035436153411865234,7.573224067687988,1,True,11
ExtraTreesGini,0.9999346704122297,0.999346832135859,accuracy,0.3998227119445801,0.30084729194641113,2.0389256477355957,0.3998227119445801,0.30084729194641113,2.0389256477355957,1,True,6
ExtraTreesEntr,0.9999346704122297,0.999346832135859,accuracy,0.40965867042541504,0.31026124954223633,1.778740406036377,0.40965867042541504,0.31026124954223633,1.778740406036377,1,True,7
NeuralNetFastAI,0.9998693408244594,1.0,accuracy,0.24601197242736816,0.027530193328857422,15.605826139450073,0.24601197242736816,0.027530193328857422,15.605826139450073,1,True,8
LightGBM,0.999804011236689,1.0,accuracy,0.0073583126068115234,0.0014150142669677734,1.1362407207489014,0.0073583126068115234,0.0014150142669677734,1.1362407207489014,1,True,2
