Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
CatBoost Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.27
Ada Boost Classifier,0.9999,0.9999,1.0,0.9998,0.9999,0.9998,0.9998,1.37
Decision Tree Classifier,0.9999,0.9999,1.0,0.9998,0.9999,0.9998,0.9998,1.196
Extreme Gradient Boosting,0.9999,1.0,0.9998,1.0,0.9999,0.9998,0.9998,2.068
Light Gradient Boosting Machine,0.9999,1.0,1.0,0.9998,0.9999,0.9998,0.9998,199.55
Gradient Boosting Classifier,0.9999,0.9999,1.0,0.9998,0.9999,0.9998,0.9998,18.62
Ridge Classifier,0.9993,0.9994,0.9992,0.9994,0.9993,0.9987,0.9987,1.182
Linear Discriminant Analysis,0.9993,0.9997,0.9994,0.999,0.9992,0.9985,0.9985,1.544
Random Forest Classifier,0.9947,0.9999,0.9922,0.9967,0.9944,0.9893,0.9894,1.386
Extra Trees Classifier,0.9859,0.9996,0.9744,0.996,0.9851,0.9717,0.972,1.212
Quadratic Discriminant Analysis,0.7217,0.8378,0.7885,0.6891,0.7306,0.4464,0.4578,1.384
K Neighbors Classifier,0.6857,0.7627,0.5716,0.7138,0.6348,0.3649,0.3719,1.3
Dummy Classifier,0.522,0.5,0.0,0.0,0.0,0.0,0.0,0.87
Naive Bayes,0.498,0.601,0.9311,0.4869,0.6394,0.0314,0.0583,1.116
SVM - Linear Kernel,0.4955,0.4974,0.4829,0.4723,0.4773,-0.0101,-0.0101,1.2
Logistic Regression,0.4712,0.4918,0.4351,0.4453,0.44,-0.0608,-0.0608,3.226
