Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
K Neighbors Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.936
CatBoost Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.796
Decision Tree Classifier,0.9999,0.9999,1.0,0.9998,0.9999,0.9998,0.9998,0.962
Gradient Boosting Classifier,0.9999,0.9999,1.0,0.9998,0.9999,0.9998,0.9998,3.882
Extreme Gradient Boosting,0.9999,1.0,0.9998,1.0,0.9999,0.9998,0.9998,1.004
Light Gradient Boosting Machine,0.9999,1.0,1.0,0.9998,0.9999,0.9998,0.9998,122.298
Ada Boost Classifier,0.9999,0.9999,1.0,0.9998,0.9999,0.9998,0.9998,1.04
Random Forest Classifier,0.9995,1.0,1.0,0.999,0.9995,0.9991,0.9991,1.062
Ridge Classifier,0.9993,1.0,0.9992,0.9992,0.9992,0.9985,0.9985,0.862
Extra Trees Classifier,0.9993,1.0,0.9998,0.9988,0.9993,0.9987,0.9987,1.064
Linear Discriminant Analysis,0.9993,1.0,0.9996,0.999,0.9993,0.9987,0.9987,0.864
Logistic Regression,0.9992,0.9999,0.999,0.9992,0.9991,0.9983,0.9983,2.524
Quadratic Discriminant Analysis,0.8802,0.9922,0.7606,0.9854,0.8585,0.7575,0.7767,0.94
SVM - Linear Kernel,0.8362,0.9412,0.8913,0.8254,0.8422,0.6746,0.7048,0.988
Naive Bayes,0.8338,0.9694,0.6649,0.9813,0.7926,0.6623,0.6974,0.902
Dummy Classifier,0.522,0.5,0.0,0.0,0.0,0.0,0.0,0.756
