feature_name,importance
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.0910373660830938
"data__fft_coefficient__attr_""abs""__coeff_1",0.05503004964724325
data__binned_entropy__max_bins_10,0.04771361379670758
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.035536974131173224
data__kurtosis,0.02581656650117583
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.011863078129082827
"data__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.011706297360857066
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.01128821531225499
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.010974653775803488
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.01019074993467466
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.010138489678599427
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.008257120459890221
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.008257120459890221
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.00783903841128819
"data__fft_coefficient__attr_""abs""__coeff_2",0.007525476874836667
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.006898353801933621
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.0057486281682780135
data__quantile__q_0.1,0.005539587143976998
data__autocorrelation__lag_1,0.005121505095374968
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.005016984583224438
"data__fft_coefficient__attr_""abs""__coeff_3",0.004389861510321414
"data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.004337601254246137
data__ratio_beyond_r_sigma__r_1,0.004285340998170906
"data__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.004285340998170906
data__partial_autocorrelation__lag_1,0.004233080742095652
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.003971779461719338
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0037627384374183228
data__index_mass_quantile__q_0.2,0.0036582179252677926
data__autocorrelation__lag_6,0.002769793571988455
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.0026652730598379472
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.002560752547687439
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.00229945126731117
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.0022471910112359162
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.0022471910112359162
data__autocorrelation__lag_3,0.0022471910112359162
data__autocorrelation__lag_5,0.0021949307551606843
data__index_mass_quantile__q_0.6,0.0021426704990854086
data__quantile__q_0.2,0.0021426704990854086
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.0020904102430101545
data__index_mass_quantile__q_0.8,0.0019336294747843929
data__autocorrelation__lag_4,0.001881369218709139
data__friedrich_coefficients__coeff_2__m_3__r_30,0.0018291089626338852
data__autocorrelation__lag_7,0.0018291089626338852
data__autocorrelation__lag_8,0.0017768487065586314
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.0017768487065586314
data__lempel_ziv_complexity__bins_10,0.0016200679383328697
data__minimum,0.0016200679383328697
data__lempel_ziv_complexity__bins_3,0.001567807682257616
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.001515547426182362
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",0.001515547426182362
