model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMLarge,1.0,1.0,accuracy,0.0015308856964111328,0.0006835460662841797,4.285617351531982,0.0015308856964111328,0.0006835460662841797,4.285617351531982,1,True,11
NeuralNetTorch,1.0,1.0,accuracy,0.05884408950805664,0.02071213722229004,18.14085364341736,0.05884408950805664,0.02071213722229004,18.14085364341736,1,True,10
WeightedEnsemble_L2,1.0,1.0,accuracy,0.059976816177368164,0.02133774757385254,18.184570789337158,0.0011327266693115234,0.0006256103515625,0.043717145919799805,2,True,12
NeuralNetFastAI,0.9997401922577293,1.0,accuracy,0.03988242149353027,0.010507583618164062,2.8866701126098633,0.03988242149353027,0.010507583618164062,2.8866701126098633,1,True,8
XGBoost,0.9994803845154585,1.0,accuracy,0.017926931381225586,0.0033364295959472656,0.30031681060791016,0.017926931381225586,0.0033364295959472656,0.30031681060791016,1,True,9
RandomForestGini,0.9994803845154585,0.996,accuracy,0.04606747627258301,0.044446468353271484,0.5970220565795898,0.04606747627258301,0.044446468353271484,0.5970220565795898,1,True,3
RandomForestEntr,0.9994803845154585,0.996,accuracy,0.0472865104675293,0.04586219787597656,0.4823305606842041,0.0472865104675293,0.04586219787597656,0.4823305606842041,1,True,4
ExtraTreesEntr,0.9994803845154585,0.996,accuracy,0.04881620407104492,0.04172706604003906,0.4334566593170166,0.04881620407104492,0.04172706604003906,0.4334566593170166,1,True,7
ExtraTreesGini,0.9994803845154585,0.996,accuracy,0.048931121826171875,0.14439892768859863,0.48439645767211914,0.048931121826171875,0.14439892768859863,0.48439645767211914,1,True,6
LightGBM,0.9989607690309171,1.0,accuracy,0.0012204647064208984,0.001252889633178711,1.0818204879760742,0.0012204647064208984,0.001252889633178711,1.0818204879760742,1,True,2
CatBoost,0.9989607690309171,1.0,accuracy,0.004724264144897461,0.0027632713317871094,1.3990981578826904,0.004724264144897461,0.0027632713317871094,1.3990981578826904,1,True,5
LightGBMXT,0.9984411535463756,1.0,accuracy,0.001421213150024414,0.0009744167327880859,3.9101908206939697,0.001421213150024414,0.0009744167327880859,3.9101908206939697,1,True,1
