feature,importance,rank
"data__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",11.756436948430236,1
data__kurtosis,10.251870159486263,2
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",8.855097601012757,3
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",6.587439327420913,4
data__binned_entropy__max_bins_10,5.20649062007142,5
"data__fft_coefficient__attr_""abs""__coeff_1",3.1780353876939933,6
data__mean_abs_change,3.104633521842388,7
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",2.5665795364948027,8
data__partial_autocorrelation__lag_1,2.1407971098400678,9
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",1.824213980937061,10
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",1.3038618685513983,11
"data__fft_coefficient__attr_""abs""__coeff_2",1.2446826957727948,12
"data__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",1.2083032564468976,13
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",1.1663697987498953,14
data__minimum,1.1124736428457955,15
data__quantile__q_0.1,1.1119112168617669,16
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",1.0907082176218728,17
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",1.0495328887654956,18
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",1.0074961870739403,19
data__autocorrelation__lag_1,1.0022822467401107,20
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.9792289834876708,21
data__autocorrelation__lag_4,0.9445415493346515,22
data__ratio_beyond_r_sigma__r_1,0.9221826220201093,23
data__benford_correlation,0.8630266857025263,24
data__autocorrelation__lag_6,0.8287688987105012,25
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.8264325896824827,26
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.8155599947742755,27
data__autocorrelation__lag_3,0.7967840123876904,28
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.770058945681049,29
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.7438499613571247,30
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.724332993864117,31
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.7165255706874347,32
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.696650652077139,33
data__autocorrelation__lag_9,0.681568765066566,34
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.6720468675311672,35
data__longest_strike_above_mean,0.6543109316097927,36
"data__fft_coefficient__attr_""imag""__coeff_1",0.6519464706004716,37
data__ratio_beyond_r_sigma__r_0.5,0.6233297236611861,38
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.621519947792915,39
"data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",0.5748998592970997,40
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.5719003862493323,41
data__friedrich_coefficients__coeff_2__m_3__r_30,0.5583858851349751,42
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.5528824181676094,43
data__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.545470410290431,44
data__index_mass_quantile__q_0.1,0.5389107499814618,45
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.5135656235572857,46
data__quantile__q_0.2,0.5121680114357577,47
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.5094508749732576,48
data__index_mass_quantile__q_0.6,0.5055820273181431,49
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.4982011477663628,50
