feature,importance,rank
"data__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.0685546924014672,1
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.06798976114305526,2
data__kurtosis,0.06493913565952601,3
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.04465689030394976,4
data__binned_entropy__max_bins_10,0.043879079667038745,5
"data__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.04059387004863408,6
"data__fft_coefficient__attr_""abs""__coeff_1",0.03486600846156374,7
data__ratio_beyond_r_sigma__r_1,0.028182780389568365,8
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.024538730900119064,9
"data__fft_coefficient__attr_""abs""__coeff_2",0.021827572043156503,10
data__quantile__q_0.2,0.02073567051602837,11
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.02029162138315074,12
data__longest_strike_above_mean,0.019654446199381455,13
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.019285679773638233,14
"data__linear_trend__attr_""pvalue""",0.018390427677208245,15
data__mean_abs_change,0.01723744873078506,16
data__quantile__q_0.8,0.017196990138722907,17
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.016579420009767094,18
data__partial_autocorrelation__lag_1,0.01609927270201785,19
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.014846581138999483,20
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.014478419953261563,21
data__longest_strike_below_mean,0.01378067915073376,22
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.013632750704881576,23
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.013443722934270276,24
data__quantile__q_0.1,0.013086292375235885,25
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.012532277247682869,26
data__ratio_beyond_r_sigma__r_0.5,0.012055937443651705,27
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.011985366414527946,28
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.01142685991666993,29
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.011326868262660416,30
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.01126430742287202,31
data__autocorrelation__lag_1,0.011052613454105407,32
data__friedrich_coefficients__coeff_2__m_3__r_30,0.01069283134130249,33
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.010635343029048073,34
data__lempel_ziv_complexity__bins_3,0.010508475131977326,35
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.009149522113615903,36
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.008611851004109503,37
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.00795356282295536,38
data__minimum,0.007708064636965584,39
data__autocorrelation__lag_7,0.0076444771116720685,40
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.007487428577432169,41
"data__fft_coefficient__attr_""abs""__coeff_3",0.007485381014687504,42
data__autocorrelation__lag_9,0.006610173985998223,43
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.005865324947375831,44
data__lempel_ziv_complexity__bins_5,0.005520003071622048,45
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.004804348839319233,46
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.004638517949825156,47
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.004209059650485139,48
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.004038528754542605,49
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.004018399359242287,50
