feature,importance,rank
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.24625629,1
data__kurtosis,0.1408743,2
"data__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.12038395,3
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.0678688,4
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.05149377,5
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.031999554,6
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.018666945,7
data__binned_entropy__max_bins_10,0.016988382,8
"data__fft_coefficient__attr_""abs""__coeff_1",0.01684125,9
"data__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.012579021,10
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.009715729,11
data__autocorrelation__lag_1,0.008258766,12
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.0077889804,13
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.006460076,14
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.0063634254,15
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.006207374,16
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.006065186,17
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.0058630533,18
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.005732375,19
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.00553756,20
data__quantile__q_0.2,0.005472614,21
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.005219179,22
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.00493218,23
"data__fft_coefficient__attr_""abs""__coeff_2",0.004736983,24
data__quantile__q_0.1,0.0047363695,25
data__autocorrelation__lag_6,0.0046556746,26
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.0045056934,27
data__benford_correlation,0.0044500865,28
data__autocorrelation__lag_4,0.0044153654,29
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0042589414,30
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.003786455,31
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.0035547921,32
data__index_mass_quantile__q_0.2,0.0034797576,33
data__autocorrelation__lag_7,0.0034571746,34
data__lempel_ziv_complexity__bins_10,0.0034393782,35
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.0033956121,36
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.0033794928,37
data__friedrich_coefficients__coeff_2__m_3__r_30,0.0033326107,38
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.0032800348,39
data__energy_ratio_by_chunks__num_segments_10__segment_focus_3,0.0032657904,40
data__autocorrelation__lag_8,0.0031767185,41
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.0031676413,42
data__minimum,0.0030803767,43
data__index_mass_quantile__q_0.8,0.0029465444,44
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.0029424217,45
data__energy_ratio_by_chunks__num_segments_10__segment_focus_9,0.0029274682,46
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",0.0029224025,47
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.0029121726,48
data__lempel_ziv_complexity__bins_3,0.002899449,49
data__lempel_ziv_complexity__bins_2,0.0028770394,50
