id,true_label,predicted_label,correct,prob_Stationary,prob_Non-Stationary,confidence
15255,1,0,0,0.57,0.43,0.57
17071,1,0,0,0.99,0.01,0.99
5053,0,1,0,0.39,0.61,0.61
17222,1,0,0,0.76,0.24,0.76
5137,0,1,0,0.08,0.92,0.92
16692,1,0,0,0.905,0.095,0.905
1082,0,1,0,0.475,0.525,0.525
6263,0,1,0,0.475,0.525,0.525
16760,1,0,0,0.645,0.355,0.645
1763,0,1,0,0.165,0.835,0.835
5292,0,1,0,0.03,0.97,0.97
9106,0,1,0,0.49,0.51,0.51
16624,1,0,0,0.655,0.345,0.655
7197,0,1,0,0.375,0.625,0.625
16554,1,0,0,0.705,0.295,0.705
4117,0,1,0,0.385,0.615,0.615
16896,1,0,0,0.63,0.37,0.63
3288,0,1,0,0.32,0.68,0.68
16571,1,0,0,0.695,0.305,0.695
16845,1,0,0,0.915,0.085,0.915
16079,1,0,0,0.625,0.375,0.625
5178,0,1,0,0.33,0.67,0.67
14735,1,0,0,0.69,0.31,0.69
16840,1,0,0,0.675,0.325,0.675
17651,1,0,0,0.6,0.4,0.6
17060,1,0,0,0.72,0.28,0.72
3156,0,1,0,0.49,0.51,0.51
15295,1,0,0,0.835,0.165,0.835
16410,1,0,0,0.605,0.395,0.605
16894,1,0,0,0.95,0.05,0.95
16892,1,0,0,0.975,0.025,0.975
16413,1,0,0,0.905,0.095,0.905
16248,1,0,0,0.76,0.24,0.76
16754,1,0,0,0.86,0.14,0.86
6820,0,1,0,0.43,0.57,0.57
6103,0,1,0,0.495,0.505,0.505
18420,1,0,0,0.635,0.365,0.635
1626,0,1,0,0.49,0.51,0.51
14666,1,0,0,0.77,0.23,0.77
16916,1,0,0,0.83,0.17,0.83
16232,1,0,0,0.91,0.09,0.91
16409,1,0,0,0.72,0.28,0.72
16879,1,0,0,0.5,0.5,0.5
7219,0,1,0,0.255,0.745,0.745
16976,1,0,0,0.82,0.18,0.82
16963,1,0,0,0.71,0.29,0.71
16747,1,0,0,0.645,0.355,0.645
17075,1,0,0,0.885,0.115,0.885
16067,1,0,0,0.68,0.32,0.68
14983,1,0,0,0.605,0.395,0.605
16929,1,0,0,0.68,0.32,0.68
17540,1,0,0,0.605,0.395,0.605
16933,1,0,0,0.91,0.09,0.91
16268,1,0,0,0.84,0.16,0.84
17097,1,0,0,0.86,0.14,0.86
17236,1,0,0,0.63,0.37,0.63
5281,0,1,0,0.1,0.9,0.9
16659,1,0,0,0.905,0.095,0.905
16926,1,0,0,0.675,0.325,0.675
95,0,1,0,0.435,0.565,0.565
16599,1,0,0,0.55,0.45,0.55
17653,1,0,0,0.705,0.295,0.705
15290,1,0,0,0.525,0.475,0.525
17025,1,0,0,0.98,0.02,0.98
342,0,1,0,0.485,0.515,0.515
16382,1,0,0,0.82,0.18,0.82
5353,0,1,0,0.16,0.84,0.84
6440,0,1,0,0.47,0.53,0.53
16222,1,0,0,0.95,0.05,0.95
16611,1,0,0,0.965,0.035,0.965
16223,1,0,0,0.925,0.075,0.925
5637,0,1,0,0.285,0.715,0.715
17160,1,0,0,0.67,0.33,0.67
5451,0,1,0,0.03,0.97,0.97
955,0,1,0,0.16,0.84,0.84
16654,1,0,0,0.86,0.14,0.86
15033,1,0,0,0.605,0.395,0.605
1526,0,1,0,0.45,0.55,0.55
16069,1,0,0,0.62,0.38,0.62
16086,1,0,0,0.845,0.155,0.845
3437,0,1,0,0.22,0.78,0.78
16995,1,0,0,0.89,0.11,0.89
16080,1,0,0,0.66,0.34,0.66
16690,1,0,0,0.595,0.405,0.595
16254,1,0,0,0.66,0.34,0.66
16403,1,0,0,0.76,0.24,0.76
14504,1,0,0,0.52,0.48,0.52
16918,1,0,0,0.715,0.285,0.715
407,0,1,0,0.45,0.55,0.55
17205,1,0,0,0.965,0.035,0.965
16266,1,0,0,0.585,0.415,0.585
4947,0,1,0,0.4,0.6,0.6
16590,1,0,0,0.845,0.155,0.845
16720,1,0,0,0.625,0.375,0.625
8051,0,1,0,0.48,0.52,0.52
16431,1,0,0,0.935,0.065,0.935
16227,1,0,0,0.945,0.055,0.945
6169,0,1,0,0.48,0.52,0.52
16434,1,0,0,0.765,0.235,0.765
6279,0,1,0,0.35,0.65,0.65
1366,0,1,0,0.49,0.51,0.51
6258,0,1,0,0.495,0.505,0.505
8277,0,1,0,0.445,0.555,0.555
16646,1,0,0,0.565,0.435,0.565
18463,1,0,0,0.64,0.36,0.64
17260,1,0,0,0.665,0.335,0.665
16252,1,0,0,0.865,0.135,0.865
16956,1,0,0,0.83,0.17,0.83
4188,0,1,0,0.485,0.515,0.515
17110,1,0,0,0.68,0.32,0.68
16078,1,0,0,0.525,0.475,0.525
16259,1,0,0,0.825,0.175,0.825
5238,0,1,0,0.465,0.535,0.535
16081,1,0,0,0.6,0.4,0.6
16993,1,0,0,0.96,0.04,0.96
16415,1,0,0,0.98,0.02,0.98
16089,1,0,0,0.84,0.16,0.84
7207,0,1,0,0.41,0.59,0.59
16817,1,0,0,0.505,0.495,0.505
5566,0,1,0,0.165,0.835,0.835
16100,1,0,0,0.94,0.06,0.94
16397,1,0,0,0.83,0.17,0.83
16649,1,0,0,0.84,0.16,0.84
16056,1,0,0,0.585,0.415,0.585
16938,1,0,0,0.795,0.205,0.795
17046,1,0,0,0.765,0.235,0.765
16099,1,0,0,0.77,0.23,0.77
7139,0,1,0,0.0,1.0,1.0
341,0,1,0,0.47,0.53,0.53
5277,0,1,0,0.27,0.73,0.73
921,0,1,0,0.095,0.905,0.905
16549,1,0,0,0.91,0.09,0.91
16627,1,0,0,0.825,0.175,0.825
16380,1,0,0,0.735,0.265,0.735
16723,1,0,0,0.765,0.235,0.765
5057,0,1,0,0.485,0.515,0.515
17058,1,0,0,0.79,0.21,0.79
