feature,importance,rank
data__ar_coefficient__coeff_1__k_10,14.442220469021773,1
"data__fft_coefficient__attr_""abs""__coeff_1",3.488816581680423,2
data__ratio_beyond_r_sigma__r_1,2.421436127442266,3
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,2.1423312705481536,4
data__fourier_entropy__bins_100,2.1354447752768038,5
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",2.050768929857524,6
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",2.032256792939487,7
data__index_mass_quantile__q_0.8,1.9512532713097266,8
data__fourier_entropy__bins_3,1.8312094364390559,9
data__fourier_entropy__bins_5,1.771772379710504,10
data__fourier_entropy__bins_10,1.7129046472313272,11
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",1.651903819270156,12
data__index_mass_quantile__q_0.3,1.5823746672133316,13
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",1.4915462490111118,14
data__ratio_beyond_r_sigma__r_0.5,1.440457554260495,15
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",1.3778440913061525,16
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",1.3739339960320274,17
data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,1.310953171619503,18
data__kurtosis,1.2965455526540202,19
data__binned_entropy__max_bins_10,1.2699545137761643,20
data__friedrich_coefficients__coeff_2__m_3__r_30,1.264897728459439,21
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",1.206910183735121,22
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",1.142304944536698,23
"data__linear_trend__attr_""pvalue""",1.1368442786969628,24
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",1.1366878295370135,25
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",1.1343594666726053,26
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",1.1277026991852832,27
data__autocorrelation__lag_7,1.1243619324883964,28
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",1.0656749496785287,29
data__spkt_welch_density__coeff_8,1.0605882829104956,30
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,1.033156730194015,31
data__mean_n_absolute_max__number_of_maxima_7,1.031984479381181,32
data__index_mass_quantile__q_0.4,0.9879278701126446,33
data__energy_ratio_by_chunks__num_segments_10__segment_focus_6,0.9761087499945923,34
data__index_mass_quantile__q_0.2,0.9643550457472592,35
data__autocorrelation__lag_4,0.9470352931696442,36
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.9128555779156949,37
"data__fft_aggregated__aggtype_""skew""",0.891638946606211,38
data__autocorrelation__lag_3,0.8840243485406227,39
"data__fft_coefficient__attr_""real""__coeff_1",0.8759369851582955,40
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.762335508817245,41
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.7591038557621206,42
data__lempel_ziv_complexity__bins_2,0.7170241333087173,43
data__index_mass_quantile__q_0.1,0.7076459351139787,44
data__autocorrelation__lag_2,0.6798645663571626,45
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.6789958805233771,46
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.6784743439998232,47
"data__fft_coefficient__attr_""abs""__coeff_2",0.6658668309035125,48
data__benford_correlation,0.6545394640852834,49
data__autocorrelation__lag_9,0.6229585347975454,50
