feature,importance,rank
data__ar_coefficient__coeff_1__k_10,0.046368017422458524,1
"data__fft_coefficient__attr_""abs""__coeff_1",0.028780355946088753,2
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.02672490637393235,3
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.02376654885556628,4
data__autocorrelation__lag_7,0.021421885472625177,5
data__partial_autocorrelation__lag_1,0.01804367009359505,6
data__autocorrelation__lag_9,0.018001566914311852,7
data__fourier_entropy__bins_100,0.017355513142850155,8
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.015659710531760275,9
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.015527597323486384,10
data__autocorrelation__lag_8,0.014960369749199794,11
"data__fft_aggregated__aggtype_""skew""",0.014878880422919936,12
data__autocorrelation__lag_3,0.014448555847560616,13
data__fourier_entropy__bins_3,0.014191669643218933,14
data__autocorrelation__lag_6,0.014144198532324398,15
data__autocorrelation__lag_2,0.014053513657062032,16
data__kurtosis,0.013920585473057108,17
data__fourier_entropy__bins_10,0.013097334492460356,18
data__ratio_beyond_r_sigma__r_0.5,0.012942323633615652,19
data__friedrich_coefficients__coeff_2__m_3__r_30,0.011423496471986833,20
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.010936177530172491,21
data__quantile__q_0.2,0.010825824083624924,22
data__fourier_entropy__bins_2,0.010500144904977183,23
data__index_mass_quantile__q_0.3,0.010023330032653176,24
data__benford_correlation,0.009769255637975179,25
data__ratio_beyond_r_sigma__r_1,0.00967586188408508,26
data__index_mass_quantile__q_0.1,0.009663567970412075,27
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.009566723386080639,28
data__autocorrelation__lag_1,0.00954305772178432,29
data__index_mass_quantile__q_0.4,0.009442627196956163,30
data__fourier_entropy__bins_5,0.009343263471240936,31
data__autocorrelation__lag_5,0.009243637019431188,32
data__cid_ce__normalize_True,0.009199973879804084,33
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.009147937902741503,34
data__autocorrelation__lag_4,0.009012819563507335,35
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.009003818593916395,36
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.00898917796630166,37
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.008870899910517663,38
data__index_mass_quantile__q_0.2,0.008555681863525759,39
data__binned_entropy__max_bins_10,0.008493336699882092,40
data__longest_strike_above_mean,0.008109124025300703,41
data__longest_strike_below_mean,0.00802393079561589,42
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.007808521570504786,43
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.0075887311883779465,44
data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.007587075804218111,45
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.007142209660998986,46
data__index_mass_quantile__q_0.8,0.007014340675823202,47
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.0069288921826523645,48
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.006904480698421431,49
data__mean_n_absolute_max__number_of_maxima_7,0.006777510576549447,50
