feature,importance,rank
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.09263893,1
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.07452693,2
data__fourier_entropy__bins_3,0.06585454,3
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.055035915,4
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.049278986,5
data__ar_coefficient__coeff_1__k_10,0.03853082,6
data__index_mass_quantile__q_0.8,0.038267106,7
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.036186166,8
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.034459926,9
"data__linear_trend__attr_""pvalue""",0.030605484,10
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.025832335,11
"data__fft_coefficient__attr_""abs""__coeff_1",0.022159148,12
data__autocorrelation__lag_1,0.021446183,13
data__index_mass_quantile__q_0.4,0.016859457,14
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.016535774,15
data__ratio_beyond_r_sigma__r_0.5,0.015969802,16
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.015716102,17
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.013000065,18
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.011947328,19
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.011923122,20
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.01093476,21
"data__fft_aggregated__aggtype_""skew""",0.010082487,22
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.009345561,23
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.008803491,24
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.008512951,25
data__autocorrelation__lag_4,0.008043368,26
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.007704423,27
data__friedrich_coefficients__coeff_2__m_3__r_30,0.0075199786,28
data__lempel_ziv_complexity__bins_2,0.0074928547,29
data__index_mass_quantile__q_0.2,0.0073281736,30
data__fourier_entropy__bins_10,0.007004008,31
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.006818316,32
data__autocorrelation__lag_6,0.0065735215,33
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.006320334,34
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.0062882756,35
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.0059821946,36
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.005775757,37
data__absolute_sum_of_changes,0.0055971215,38
data__quantile__q_0.2,0.0054395907,39
data__binned_entropy__max_bins_10,0.0054213707,40
data__fourier_entropy__bins_5,0.0047876257,41
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.0047664144,42
data__spkt_welch_density__coeff_8,0.0044839876,43
"data__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.004445162,44
"data__fft_aggregated__aggtype_""kurtosis""",0.0042822654,45
data__mean_abs_change,0.0042678975,46
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",0.0039323433,47
"data__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",0.0039058446,48
data__quantile__q_0.7,0.0036553938,49
data__longest_strike_above_mean,0.003520968,50
