id,true_label,predicted_label,correct,prob_Trend,prob_Volatility,prob_Stochastic,prob_Anomaly,prob_Structural Break,confidence
4798,4,3,0,0.03,0.01,0.04,0.645,0.275,0.645
5010,4,0,0,0.63,0.0,0.085,0.0,0.285,0.63
3262,2,0,0,0.585,0.0,0.355,0.03,0.03,0.585
3943,1,3,0,0.0,0.21,0.0,0.765,0.025,0.765
4732,4,1,0,0.0,0.605,0.0,0.005,0.39,0.605
4743,4,1,0,0.0,0.49,0.0,0.155,0.355,0.49
4616,4,2,0,0.035,0.0,0.425,0.22,0.32,0.425
4824,4,1,0,0.0,0.555,0.0,0.02,0.425,0.555
3438,2,4,0,0.06,0.0,0.45,0.0,0.49,0.49
4583,4,3,0,0.005,0.03,0.01,0.555,0.4,0.555
4737,4,1,0,0.005,0.455,0.0,0.155,0.385,0.455
4272,3,4,0,0.04,0.0,0.165,0.165,0.63,0.63
3465,2,0,0,0.48,0.0,0.475,0.01,0.035,0.48
4600,4,0,0,0.42,0.0,0.225,0.04,0.315,0.42
3418,2,4,0,0.06,0.0,0.45,0.0,0.49,0.49
3913,1,3,0,0.0,0.335,0.0,0.65,0.015,0.65
4512,4,3,0,0.0,0.03,0.005,0.815,0.15,0.815
3439,2,0,0,0.595,0.0,0.365,0.005,0.035,0.595
