feature,importance,rank
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.037486930441956084,1
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.03314525173789142,2
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.03302632580456797,3
data__autocorrelation__lag_1,0.028256680374261645,4
data__autocorrelation__lag_9,0.027442872623603617,5
data__benford_correlation,0.023707034446965744,6
data__autocorrelation__lag_8,0.02332190246592427,7
data__partial_autocorrelation__lag_1,0.02143751091156486,8
data__autocorrelation__lag_6,0.021155744720461108,9
data__autocorrelation__lag_4,0.02110337274070303,10
data__autocorrelation__lag_2,0.020909134177244316,11
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.020154982866101512,12
data__autocorrelation__lag_5,0.019010996312491053,13
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.01762919220839504,14
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.017222440972192707,15
data__autocorrelation__lag_7,0.01680226686107873,16
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.016687457389575607,17
data__mean_abs_change,0.016113949305516694,18
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.015677184541260488,19
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.015672348963868064,20
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.01504908472821989,21
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.014852343056004738,22
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.014621243422232704,23
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.014365345807054947,24
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.013902170558198024,25
data__kurtosis,0.013672418108434257,26
data__ratio_beyond_r_sigma__r_1,0.013651209347247057,27
data__autocorrelation__lag_3,0.01255321149638173,28
data__friedrich_coefficients__coeff_2__m_3__r_30,0.011626253526254793,29
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.011308425033758339,30
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.01118094037370513,31
data__index_mass_quantile__q_0.1,0.011085162743878775,32
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.011067165805215759,33
data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.010869700517751674,34
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.01064271215688788,35
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.01056711494216022,36
data__index_mass_quantile__q_0.4,0.01036323483462792,37
data__index_mass_quantile__q_0.3,0.010231767630696496,38
data__binned_entropy__max_bins_10,0.009787157101217895,39
data__ratio_beyond_r_sigma__r_0.5,0.009186872462649832,40
"data__fft_coefficient__attr_""abs""__coeff_1",0.009103774749960577,41
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.009087416694334776,42
data__minimum,0.008765525781688755,43
data__quantile__q_0.1,0.00863448739596117,44
"data__fft_aggregated__aggtype_""kurtosis""",0.008533380783087283,45
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.00817540436597003,46
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.007948538452914685,47
data__energy_ratio_by_chunks__num_segments_10__segment_focus_9,0.007939340220659919,48
data__quantile__q_0.8,0.007866101621796717,49
data__longest_strike_above_mean,0.007661373399642805,50
