id,true_label,predicted_label,correct,prob_Trend,prob_Volatility,prob_Stochastic,prob_Anomaly,prob_Structural Break,confidence
18527,4,3,0,0.0,0.005,0.01,0.68,0.305,0.68
18345,4,3,0,0.005,0.0,0.015,0.56,0.42,0.56
18247,4,0,0,0.575,0.0,0.035,0.0,0.39,0.575
18207,4,0,0,0.585,0.0,0.1,0.0,0.315,0.585
17397,3,4,0,0.01,0.015,0.045,0.46,0.47,0.47
13233,2,0,0,0.51,0.0,0.49,0.0,0.0,0.51
19582,4,2,0,0.005,0.0,0.51,0.0,0.485,0.51
18019,4,3,0,0.0,0.085,0.005,0.625,0.285,0.625
17155,3,1,0,0.0,0.66,0.0,0.33,0.01,0.66
13578,2,4,0,0.14,0.0,0.255,0.02,0.585,0.585
18463,4,3,0,0.0,0.175,0.01,0.445,0.37,0.445
12749,2,4,0,0.0,0.005,0.44,0.0,0.555,0.555
15428,1,3,0,0.0,0.21,0.0,0.785,0.005,0.785
19377,4,2,0,0.01,0.0,0.58,0.0,0.41,0.58
17239,3,1,0,0.0,0.715,0.0,0.265,0.02,0.715
19387,4,2,0,0.05,0.0,0.765,0.0,0.185,0.765
13070,2,4,0,0.0,0.0,0.265,0.0,0.735,0.735
10025,0,2,0,0.385,0.0,0.515,0.0,0.1,0.515
19866,4,2,0,0.025,0.0,0.835,0.0,0.14,0.835
19353,4,2,0,0.36,0.0,0.505,0.0,0.135,0.505
18049,4,3,0,0.005,0.085,0.02,0.625,0.265,0.625
13652,2,0,0,0.41,0.0,0.385,0.01,0.195,0.41
19362,4,0,0,0.725,0.0,0.235,0.0,0.04,0.725
19571,4,2,0,0.06,0.0,0.68,0.0,0.26,0.68
13310,2,4,0,0.02,0.0,0.02,0.06,0.9,0.9
18821,4,3,0,0.0,0.24,0.0,0.48,0.28,0.48
18179,4,3,0,0.0,0.0,0.02,0.82,0.16,0.82
18438,4,3,0,0.0,0.005,0.015,0.625,0.355,0.625
18547,4,3,0,0.0,0.095,0.01,0.49,0.405,0.49
18190,4,3,0,0.0,0.0,0.005,0.56,0.435,0.56
18030,4,3,0,0.105,0.055,0.025,0.415,0.4,0.415
19121,4,1,0,0.0,0.47,0.0,0.245,0.285,0.47
19371,4,2,0,0.155,0.005,0.69,0.005,0.145,0.69
13604,2,4,0,0.005,0.0,0.19,0.0,0.805,0.805
15434,1,3,0,0.0,0.355,0.0,0.64,0.005,0.64
13483,2,4,0,0.04,0.0,0.285,0.08,0.595,0.595
18431,4,3,0,0.0,0.005,0.005,0.505,0.485,0.505
17651,3,4,0,0.0,0.0,0.01,0.385,0.605,0.605
19419,4,2,0,0.02,0.0,0.53,0.0,0.45,0.53
18134,4,3,0,0.005,0.005,0.01,0.505,0.475,0.505
18436,4,0,0,0.645,0.0,0.09,0.005,0.26,0.645
19523,4,2,0,0.0,0.0,0.67,0.0,0.33,0.67
19906,4,2,0,0.0,0.0,0.5,0.0,0.5,0.5
18083,4,3,0,0.0,0.035,0.005,0.875,0.085,0.875
15048,1,3,0,0.0,0.315,0.0,0.67,0.015,0.67
13765,2,4,0,0.01,0.0,0.025,0.045,0.92,0.92
17928,4,2,0,0.1,0.0,0.85,0.005,0.045,0.85
15364,1,3,0,0.0,0.17,0.0,0.81,0.02,0.81
16953,3,4,0,0.01,0.095,0.02,0.4,0.475,0.475
16566,3,1,0,0.005,0.49,0.02,0.41,0.075,0.49
17461,3,4,0,0.0,0.0,0.005,0.48,0.515,0.515
15305,1,3,0,0.0,0.415,0.01,0.54,0.035,0.54
17649,3,4,0,0.0,0.02,0.005,0.465,0.51,0.51
19404,4,2,0,0.015,0.0,0.88,0.0,0.105,0.88
17626,3,2,0,0.01,0.0,0.83,0.09,0.07,0.83
