sample_id,true_label,predicted_label,model_name,prob_trend,prob_volatility,prob_stochastic,prob_anomaly,prob_structural_break
13860,2,3,TimeSeriesForest,0.2,0.0,0.0,0.55,0.25
16925,3,1,TimeSeriesForest,0.05,0.68,0.0,0.27,0.0
19741,4,2,TimeSeriesForest,0.0,0.0,0.89,0.0,0.11
17419,3,4,TimeSeriesForest,0.13,0.0,0.0,0.42,0.45
18147,4,3,TimeSeriesForest,0.13,0.0,0.0,0.57,0.3
10039,0,2,TimeSeriesForest,0.33,0.02,0.47,0.0,0.18
17076,3,1,TimeSeriesForest,0.05,0.5,0.0,0.45,0.0
18455,4,3,TimeSeriesForest,0.05,0.18,0.02,0.54,0.21
15885,1,4,TimeSeriesForest,0.12,0.29,0.05,0.09,0.45
10772,0,4,TimeSeriesForest,0.27,0.02,0.0,0.0,0.71
12829,2,0,TimeSeriesForest,0.56,0.0,0.42,0.0,0.02
19350,4,2,TimeSeriesForest,0.09,0.0,0.58,0.0,0.33
16552,3,1,TimeSeriesForest,0.0,0.63,0.0,0.37,0.0
16577,3,1,TimeSeriesForest,0.04,0.7,0.0,0.26,0.0
10695,0,1,TimeSeriesForest,0.38,0.41,0.0,0.21,0.0
18969,4,0,TimeSeriesForest,0.44,0.08,0.19,0.0,0.29
18348,4,3,TimeSeriesForest,0.0,0.02,0.0,0.95,0.03
16790,3,1,TimeSeriesForest,0.0,0.73,0.0,0.27,0.0
10642,0,1,TimeSeriesForest,0.19,0.48,0.0,0.32,0.01
17025,3,1,TimeSeriesForest,0.01,0.61,0.0,0.28,0.1
17082,3,1,TimeSeriesForest,0.03,0.67,0.0,0.3,0.0
19153,4,1,TimeSeriesForest,0.06,0.5,0.0,0.44,0.0
10390,0,1,TimeSeriesForest,0.28,0.55,0.0,0.15,0.02
12158,2,4,TimeSeriesForest,0.05,0.16,0.28,0.08,0.43
16843,3,1,TimeSeriesForest,0.02,0.5,0.0,0.39,0.09
10643,0,3,TimeSeriesForest,0.24,0.26,0.0,0.48,0.02
17947,4,3,TimeSeriesForest,0.06,0.03,0.03,0.45,0.43
16426,3,1,TimeSeriesForest,0.0,0.73,0.0,0.25,0.02
15225,1,3,TimeSeriesForest,0.16,0.29,0.01,0.43,0.11
10416,0,1,TimeSeriesForest,0.16,0.43,0.0,0.34,0.07
18604,4,1,TimeSeriesForest,0.03,0.55,0.0,0.41,0.01
16596,3,1,TimeSeriesForest,0.03,0.67,0.0,0.3,0.0
19250,4,3,TimeSeriesForest,0.01,0.11,0.04,0.46,0.38
18112,4,3,TimeSeriesForest,0.0,0.0,0.0,0.87,0.13
10655,0,1,TimeSeriesForest,0.08,0.69,0.0,0.23,0.0
16393,3,1,TimeSeriesForest,0.09,0.45,0.0,0.4,0.06
16809,3,1,TimeSeriesForest,0.05,0.65,0.0,0.3,0.0
16434,3,1,TimeSeriesForest,0.08,0.7,0.0,0.22,0.0
17816,3,4,TimeSeriesForest,0.01,0.03,0.0,0.32,0.64
19062,4,1,TimeSeriesForest,0.02,0.37,0.0,0.32,0.29
19876,4,0,TimeSeriesForest,0.44,0.0,0.34,0.0,0.22
18989,4,3,TimeSeriesForest,0.01,0.36,0.0,0.6,0.03
16639,3,1,TimeSeriesForest,0.04,0.55,0.0,0.4,0.01
19700,4,2,TimeSeriesForest,0.13,0.04,0.57,0.0,0.26
19407,4,2,TimeSeriesForest,0.0,0.01,0.5,0.0,0.49
13736,2,3,TimeSeriesForest,0.3,0.03,0.01,0.54,0.12
14787,1,3,TimeSeriesForest,0.05,0.42,0.0,0.5,0.03
16834,3,1,TimeSeriesForest,0.09,0.53,0.0,0.35,0.03
15315,1,3,TimeSeriesForest,0.0,0.15,0.0,0.64,0.21
10584,0,3,TimeSeriesForest,0.21,0.18,0.0,0.56,0.05
15928,1,4,TimeSeriesForest,0.0,0.22,0.0,0.06,0.72
19580,4,2,TimeSeriesForest,0.0,0.0,0.76,0.0,0.24
16771,3,1,TimeSeriesForest,0.0,0.68,0.0,0.32,0.0
11300,0,4,TimeSeriesForest,0.28,0.0,0.35,0.0,0.37
16855,3,1,TimeSeriesForest,0.0,0.78,0.0,0.2,0.02
10417,0,1,TimeSeriesForest,0.36,0.52,0.0,0.11,0.01
16655,3,1,TimeSeriesForest,0.04,0.62,0.0,0.34,0.0
16838,3,1,TimeSeriesForest,0.01,0.54,0.0,0.43,0.02
16956,3,1,TimeSeriesForest,0.06,0.68,0.0,0.25,0.01
16940,3,1,TimeSeriesForest,0.03,0.73,0.0,0.22,0.02
17252,3,1,TimeSeriesForest,0.01,0.59,0.0,0.4,0.0
17317,3,4,TimeSeriesForest,0.02,0.0,0.02,0.39,0.57
18048,4,3,TimeSeriesForest,0.03,0.04,0.0,0.71,0.22
17605,3,4,TimeSeriesForest,0.01,0.05,0.0,0.07,0.87
17235,3,1,TimeSeriesForest,0.1,0.57,0.0,0.31,0.02
10635,0,1,TimeSeriesForest,0.04,0.65,0.0,0.31,0.0
10480,0,1,TimeSeriesForest,0.24,0.45,0.0,0.31,0.0
10738,0,4,TimeSeriesForest,0.29,0.03,0.0,0.0,0.68
16657,3,1,TimeSeriesForest,0.0,0.62,0.0,0.38,0.0
16573,3,1,TimeSeriesForest,0.0,0.51,0.0,0.49,0.0
16238,3,1,TimeSeriesForest,0.01,0.51,0.0,0.48,0.0
17600,3,4,TimeSeriesForest,0.02,0.02,0.03,0.18,0.75
17148,3,1,TimeSeriesForest,0.05,0.48,0.0,0.47,0.0
17157,3,1,TimeSeriesForest,0.02,0.58,0.0,0.4,0.0
17087,3,1,TimeSeriesForest,0.07,0.59,0.0,0.34,0.0
15910,1,4,TimeSeriesForest,0.03,0.24,0.15,0.01,0.57
10745,0,1,TimeSeriesForest,0.08,0.64,0.0,0.28,0.0
18239,4,0,TimeSeriesForest,0.63,0.01,0.03,0.0,0.33
17173,3,1,TimeSeriesForest,0.1,0.58,0.0,0.32,0.0
16779,3,1,TimeSeriesForest,0.06,0.75,0.0,0.19,0.0
16617,3,1,TimeSeriesForest,0.02,0.54,0.0,0.43,0.01
16598,3,1,TimeSeriesForest,0.04,0.67,0.0,0.29,0.0
10753,0,4,TimeSeriesForest,0.21,0.04,0.0,0.0,0.75
17045,3,1,TimeSeriesForest,0.0,0.52,0.0,0.48,0.0
19721,4,2,TimeSeriesForest,0.03,0.0,0.78,0.0,0.19
16720,3,1,TimeSeriesForest,0.03,0.53,0.0,0.44,0.0
19382,4,2,TimeSeriesForest,0.34,0.01,0.52,0.0,0.13
10443,0,1,TimeSeriesForest,0.05,0.68,0.0,0.27,0.0
17258,3,1,TimeSeriesForest,0.0,0.58,0.0,0.39,0.03
16587,3,1,TimeSeriesForest,0.09,0.59,0.0,0.32,0.0
16812,3,1,TimeSeriesForest,0.01,0.58,0.0,0.41,0.0
16052,3,0,TimeSeriesForest,0.46,0.17,0.0,0.31,0.06
15610,1,4,TimeSeriesForest,0.02,0.36,0.0,0.1,0.52
16404,3,1,TimeSeriesForest,0.01,0.65,0.0,0.32,0.02
19374,4,2,TimeSeriesForest,0.0,0.0,0.76,0.0,0.24
10530,0,1,TimeSeriesForest,0.09,0.57,0.0,0.34,0.0
17227,3,1,TimeSeriesForest,0.02,0.66,0.0,0.32,0.0
19902,4,2,TimeSeriesForest,0.05,0.0,0.68,0.0,0.27
10717,0,1,TimeSeriesForest,0.02,0.63,0.0,0.35,0.0
19538,4,2,TimeSeriesForest,0.0,0.0,0.72,0.0,0.28
19705,4,2,TimeSeriesForest,0.01,0.0,0.83,0.0,0.16
11339,0,2,TimeSeriesForest,0.33,0.0,0.65,0.0,0.02
17249,3,1,TimeSeriesForest,0.05,0.63,0.0,0.32,0.0
16425,3,1,TimeSeriesForest,0.02,0.55,0.0,0.43,0.0
10722,0,1,TimeSeriesForest,0.06,0.65,0.0,0.28,0.01
13855,2,3,TimeSeriesForest,0.12,0.0,0.0,0.62,0.26
19582,4,2,TimeSeriesForest,0.0,0.0,0.85,0.0,0.15
10412,0,1,TimeSeriesForest,0.09,0.59,0.0,0.28,0.04
17410,3,4,TimeSeriesForest,0.09,0.18,0.0,0.35,0.38
15462,1,4,TimeSeriesForest,0.01,0.39,0.01,0.06,0.53
16233,3,1,TimeSeriesForest,0.15,0.55,0.01,0.28,0.01
16252,3,1,TimeSeriesForest,0.0,0.57,0.0,0.43,0.0
