feature,importance,rank
"data__fft_coefficient__attr_""abs""__coeff_1",4.8333797839408845,1
data__fourier_entropy__bins_100,4.783908948770452,2
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,3.9672766911232356,3
data__ratio_beyond_r_sigma__r_1,3.6496870379088504,4
data__fourier_entropy__bins_5,3.3557304546108377,5
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",3.2612051667809245,6
data__ratio_beyond_r_sigma__r_0.5,2.5188962302669844,7
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",2.4711326917710315,8
data__index_mass_quantile__q_0.3,2.467451558926033,9
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",2.442712275639754,10
data__fourier_entropy__bins_10,2.437900945987416,11
data__fourier_entropy__bins_3,2.1912515388249467,12
data__benford_correlation,2.113671154452993,13
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,2.047041071575253,14
data__friedrich_coefficients__coeff_2__m_3__r_30,1.9569172798299375,15
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",1.9512257674494564,16
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",1.9371374899528582,17
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",1.9198067096279328,18
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",1.593935229289773,19
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",1.543917993638618,20
data__binned_entropy__max_bins_10,1.5329007937746475,21
data__mean_n_absolute_max__number_of_maxima_7,1.4230798661745703,22
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",1.3777469857418847,23
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",1.3419987985479436,24
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",1.310257039549582,25
data__autocorrelation__lag_2,1.2951662868755465,26
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",1.280633314279338,27
data__autocorrelation__lag_1,1.2654292170209358,28
data__autocorrelation__lag_6,1.1959449853595547,29
"data__fft_aggregated__aggtype_""kurtosis""",1.1862218964995486,30
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",1.1203196361310388,31
data__quantile__q_0.4,1.1042359458804611,32
data__quantile__q_0.7,1.0750048861571955,33
data__autocorrelation__lag_9,1.042467883971808,34
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.9644756683767534,35
data__autocorrelation__lag_8,0.9577367486540868,36
data__kurtosis,0.9052711806782934,37
data__autocorrelation__lag_7,0.900084632495001,38
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.89946437261572,39
data__maximum,0.8606156041435705,40
"data__fft_coefficient__attr_""abs""__coeff_2",0.8517127437747011,41
data__quantile__q_0.2,0.8494000289637217,42
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.8405566745594664,43
data__autocorrelation__lag_4,0.8369919201007571,44
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.797452113703026,45
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.7971975353065958,46
data__number_crossing_m__m_0,0.7559037511459568,47
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.7542994570183651,48
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.7378119946052879,49
data__quantile__q_0.8,0.7243259081955319,50
