feature,importance,rank
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.031119805182632312,1
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.028996737169959028,2
data__fourier_entropy__bins_100,0.024356869714892947,3
data__autocorrelation__lag_9,0.02357310422506724,4
data__autocorrelation__lag_7,0.021746672688556255,5
data__partial_autocorrelation__lag_1,0.020236989515465327,6
data__autocorrelation__lag_1,0.019681590053406854,7
"data__fft_coefficient__attr_""abs""__coeff_1",0.019560102200696594,8
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.019067867117347537,9
data__autocorrelation__lag_8,0.01869835625476081,10
data__autocorrelation__lag_6,0.018349555924781397,11
data__ratio_beyond_r_sigma__r_0.5,0.017552379945091633,12
data__index_mass_quantile__q_0.3,0.01728606665862551,13
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.017190156834636174,14
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.016630096932065696,15
data__autocorrelation__lag_5,0.016164082602362004,16
data__fourier_entropy__bins_5,0.016146895677361918,17
data__autocorrelation__lag_2,0.015713758316598873,18
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.015555556769344281,19
data__fourier_entropy__bins_10,0.015227128666100183,20
data__autocorrelation__lag_4,0.015045523891666482,21
data__kurtosis,0.014923356855666798,22
data__ratio_beyond_r_sigma__r_1,0.01445818422132833,23
data__mean_n_absolute_max__number_of_maxima_7,0.013696076959753339,24
data__benford_correlation,0.013396309761216441,25
data__binned_entropy__max_bins_10,0.013374623100557823,26
data__fourier_entropy__bins_3,0.013355574446727908,27
data__quantile__q_0.2,0.012470977254936828,28
data__mean_abs_change,0.012111180594244162,29
data__friedrich_coefficients__coeff_2__m_3__r_30,0.01198693598864159,30
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.011500791352676868,31
data__autocorrelation__lag_3,0.011422849142989357,32
data__cid_ce__normalize_True,0.011260094470389297,33
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.01102532200008622,34
data__longest_strike_below_mean,0.011016216601444539,35
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.011008858481479443,36
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.010947635411793364,37
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.010659512320992468,38
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.010248418877584342,39
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.01011195159090132,40
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.00992659612908719,41
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.0097891343936693,42
data__longest_strike_above_mean,0.009788123249261949,43
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.009316504003181313,44
data__quantile__q_0.7,0.00924536865559376,45
"data__fft_aggregated__aggtype_""kurtosis""",0.008978812782877543,46
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.00871986762708776,47
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.008674934088114672,48
data__minimum,0.008539932860583107,49
data__absolute_maximum,0.00845600581257848,50
