id,true_label,predicted_label,correct,prob_Trend,prob_Volatility,prob_Stochastic,prob_Anomaly,prob_Structural Break,confidence
4798,4,3,0,0.015,0.03,0.02,0.6,0.335,0.6
5010,4,0,0,0.78,0.0,0.05,0.0,0.17,0.78
3914,1,4,0,0.0,0.37,0.0,0.005,0.625,0.625
3262,2,0,0,0.675,0.0,0.3,0.005,0.02,0.675
3943,1,3,0,0.0,0.13,0.0,0.82,0.05,0.82
4732,4,1,0,0.0,0.615,0.0,0.015,0.37,0.615
4743,4,1,0,0.0,0.525,0.0,0.08,0.395,0.525
4583,4,3,0,0.0,0.02,0.02,0.655,0.305,0.655
4272,3,4,0,0.055,0.0,0.165,0.175,0.605,0.605
3465,2,0,0,0.575,0.005,0.38,0.0,0.04,0.575
4928,4,2,0,0.16,0.0,0.535,0.015,0.29,0.535
4600,4,0,0,0.435,0.0,0.195,0.055,0.315,0.435
3418,2,4,0,0.02,0.0,0.465,0.0,0.515,0.515
3913,1,3,0,0.0,0.45,0.0,0.505,0.045,0.505
4967,4,2,0,0.01,0.0,0.71,0.0,0.28,0.71
4512,4,3,0,0.0,0.045,0.015,0.84,0.1,0.84
