feature,importance,rank
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.121848896,1
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.06527969,2
data__fourier_entropy__bins_3,0.0533787,3
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.053329755,4
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.052345477,5
data__autocorrelation__lag_1,0.04983461,6
data__fourier_entropy__bins_100,0.040828902,7
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.04065916,8
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.03570633,9
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.03363267,10
data__ratio_beyond_r_sigma__r_1,0.022484807,11
"data__fft_coefficient__attr_""abs""__coeff_1",0.020606592,12
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.020224016,13
data__ratio_beyond_r_sigma__r_0.5,0.018165616,14
data__absolute_sum_of_changes,0.015743127,15
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.015541856,16
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.015383982,17
data__fourier_entropy__bins_10,0.015198525,18
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.015020661,19
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.0144879855,20
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.014234623,21
data__quantile__q_0.2,0.011230792,22
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.011227697,23
data__autocorrelation__lag_5,0.010922258,24
data__autocorrelation__lag_4,0.010571403,25
data__friedrich_coefficients__coeff_2__m_3__r_30,0.009412007,26
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.009298241,27
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.008690072,28
data__index_mass_quantile__q_0.3,0.008449833,29
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.008272268,30
data__mean_abs_change,0.008236613,31
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.007936315,32
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.0075751347,33
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.007123412,34
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0059276344,35
data__minimum,0.0055564535,36
data__fourier_entropy__bins_5,0.0051508304,37
"data__fft_aggregated__aggtype_""kurtosis""",0.0050517116,38
data__kurtosis,0.004632899,39
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.004454229,40
"data__linear_trend__attr_""rvalue""",0.004443551,41
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.0042309943,42
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.0038653847,43
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.0036064675,44
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.003594161,45
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.0035709157,46
data__benford_correlation,0.0035459409,47
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.0035070076,48
data__autocorrelation__lag_2,0.0034495823,49
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.0032942286,50
