feature,importance,rank
topo_H1_mean_bin8,8.041173182337513,1
topo_H1_mean_bin18,5.619946341440753,2
topo_H1_mean_bin9,4.867093765409217,3
topo_H1_mean_bin14,4.170604672463807,4
topo_H1_mean_bin15,3.3571183853641484,5
topo_H1_mean_bin20,2.787894090259235,6
topo_H1_mean_bin13,2.783088042948805,7
topo_H1_mean_bin22,2.7157284939954844,8
topo_H1_mean_bin17,2.5977959836519804,9
topo_H1_mean_bin12,2.595621846132204,10
topo_H1_mean_bin11,2.594508340227971,11
topo_H1_mean_bin24,2.543533377257517,12
topo_H1_mean_bin16,2.4099418145982328,13
topo_H1_mean_bin47,2.2044533917315183,14
topo_H1_mean_bin57,2.157297840950885,15
topo_H1_mean_bin40,2.151148551387686,16
topo_H1_mean_bin19,2.139285088842707,17
topo_H1_mean_bin23,2.1011395553182237,18
topo_H1_mean_bin35,2.0654040236048408,19
topo_H1_mean_bin26,1.9994705453250174,20
topo_H1_mean_bin30,1.9457201691887998,21
topo_H1_mean_bin31,1.7775838878337327,22
topo_H1_mean_bin27,1.7291264269400275,23
topo_H1_mean_bin10,1.7254521142520598,24
topo_H1_mean_bin28,1.7228516944420444,25
topo_H1_mean_bin25,1.7142395769209444,26
topo_H1_mean_bin33,1.6785740586954854,27
topo_H1_mean_bin37,1.6324142281394611,28
topo_H1_mean_bin45,1.6061237523227856,29
topo_H1_mean_bin53,1.570711798014267,30
topo_H1_mean_bin34,1.516597914410505,31
topo_H1_mean_bin32,1.5020322129478954,32
topo_H1_mean_bin39,1.4581800653129027,33
topo_H1_mean_bin29,1.3910117449457242,34
topo_H1_mean_bin21,1.1976027064392116,35
topo_H1_mean_bin43,1.134850130158184,36
topo_H1_mean_bin56,1.1177649257321318,37
topo_H1_mean_bin52,1.101229284446206,38
topo_H1_mean_bin41,1.0750846061061594,39
topo_H1_mean_bin54,1.034314133333699,40
topo_H1_mean_bin38,1.005266000649669,41
topo_H1_mean_bin51,0.9685085748601991,42
topo_H1_mean_bin48,0.9314908741250634,43
topo_H1_mean_bin36,0.9281185083337714,44
topo_H1_mean_bin50,0.9236434156624155,45
topo_H1_mean_bin46,0.9173537290988047,46
topo_H1_mean_bin42,0.871113580316718,47
topo_H1_mean_bin55,0.7862961022622698,48
topo_H1_mean_bin44,0.7506675558827121,49
topo_H1_mean_bin49,0.3838288949783609,50
