feature,importance,rank
topo_H1_mean_bin32,0.031182268336190356,1
topo_H1_mean_bin8,0.030685535589624325,2
topo_H1_mean_bin9,0.030200249255458674,3
topo_H1_mean_bin14,0.02848042582633713,4
topo_H1_mean_bin13,0.028407296849691267,5
topo_H1_mean_bin34,0.027889046550571242,6
topo_H1_mean_bin15,0.02647623798479142,7
topo_H1_mean_bin10,0.026388965323635563,8
topo_H1_mean_bin11,0.02540338927020696,9
topo_H1_mean_bin19,0.025302215560244846,10
topo_H1_mean_bin31,0.025093721228730805,11
topo_H1_mean_bin17,0.02469389951116809,12
topo_H1_mean_bin33,0.024689304659569707,13
topo_H1_mean_bin30,0.024300135225640573,14
topo_H1_mean_bin18,0.024163719974663808,15
topo_H1_mean_bin21,0.02401429512109995,16
topo_H1_mean_bin12,0.023799445809016603,17
topo_H1_mean_bin16,0.023751801489501387,18
topo_H1_mean_bin29,0.02318750871880958,19
topo_H1_mean_bin28,0.0224094801773128,20
topo_H1_mean_bin27,0.02097075674434939,21
topo_H1_mean_bin35,0.020865822664744918,22
topo_H1_mean_bin20,0.02079996378309977,23
topo_H1_mean_bin36,0.020773594614063494,24
topo_H1_mean_bin23,0.020527208465407776,25
topo_H1_mean_bin26,0.020155712759702262,26
topo_H1_mean_bin25,0.019785624427400443,27
topo_H1_mean_bin22,0.019497260284572673,28
topo_H1_mean_bin24,0.019304705287837013,29
topo_H1_mean_bin37,0.018272891429191064,30
topo_H1_mean_bin38,0.016613427667477237,31
topo_H1_mean_bin44,0.01597192973320055,32
topo_H1_mean_bin42,0.015946587381734375,33
topo_H1_mean_bin45,0.015682587237757343,34
topo_H1_mean_bin46,0.015269741298659253,35
topo_H1_mean_bin41,0.015061824364078335,36
topo_H1_mean_bin40,0.014752159145987192,37
topo_H1_mean_bin47,0.014621504607800257,38
topo_H1_mean_bin48,0.014313673953962927,39
topo_H1_mean_bin39,0.013975283202380942,40
topo_H1_mean_bin57,0.013673062530138476,41
topo_H1_mean_bin43,0.01329623050288212,42
topo_H1_mean_bin56,0.013210893604669836,43
topo_H1_mean_bin55,0.013168909614446982,44
topo_H1_mean_bin49,0.01300781073693446,45
topo_H1_mean_bin54,0.012458551263517536,46
topo_H1_mean_bin51,0.012423056491945885,47
topo_H1_mean_bin50,0.012121457682699684,48
topo_H1_mean_bin52,0.011682445931278254,49
topo_H1_mean_bin53,0.011276380125814438,50
