feature,importance,rank
topo_H1_mean_bin32,0.05278502,1
topo_H1_mean_bin34,0.050189745,2
topo_H1_mean_bin31,0.039863385,3
topo_H1_mean_bin28,0.03820034,4
topo_H1_mean_bin9,0.030688671,5
topo_H1_mean_bin11,0.026439914,6
topo_H1_mean_bin15,0.026150784,7
topo_H1_mean_bin8,0.026065769,8
topo_H1_mean_bin27,0.024388045,9
topo_H1_mean_bin25,0.024327626,10
topo_H1_mean_bin35,0.024189135,11
topo_H1_mean_bin29,0.022892648,12
topo_H1_mean_bin12,0.021332858,13
topo_H1_mean_bin14,0.021115122,14
topo_H1_mean_bin30,0.020549443,15
topo_H1_mean_bin13,0.02002037,16
topo_H1_mean_bin55,0.019901298,17
topo_H1_mean_bin26,0.019865653,18
topo_H1_mean_bin16,0.019791521,19
topo_H1_mean_bin38,0.019681245,20
topo_H1_mean_bin19,0.019555733,21
topo_H1_mean_bin33,0.01939008,22
topo_H1_mean_bin44,0.019233355,23
topo_H1_mean_bin47,0.01813657,24
topo_H1_mean_bin18,0.017788386,25
topo_H1_mean_bin45,0.017616998,26
topo_H1_mean_bin53,0.01699836,27
topo_H1_mean_bin39,0.01636008,28
topo_H1_mean_bin10,0.015977925,29
topo_H1_mean_bin17,0.015927404,30
topo_H1_mean_bin42,0.01557891,31
topo_H1_mean_bin20,0.015242854,32
topo_H1_mean_bin22,0.015142232,33
topo_H1_mean_bin43,0.015072371,34
topo_H1_mean_bin46,0.0148907015,35
topo_H1_mean_bin23,0.01475908,36
topo_H1_mean_bin49,0.0147358235,37
topo_H1_mean_bin21,0.014187549,38
topo_H1_mean_bin52,0.014163866,39
topo_H1_mean_bin51,0.013580371,40
topo_H1_mean_bin56,0.013399129,41
topo_H1_mean_bin37,0.0131948115,42
topo_H1_mean_bin24,0.013084459,43
topo_H1_mean_bin40,0.013057908,44
topo_H1_mean_bin36,0.012736494,45
topo_H1_mean_bin41,0.012630795,46
topo_H1_mean_bin50,0.012602251,47
topo_H1_mean_bin57,0.01248613,48
topo_H1_mean_bin48,0.012389507,49
topo_H1_mean_bin54,0.011641238,50
