id,true_label,predicted_label,correct,prob_Trend,prob_Volatility,prob_Stochastic,prob_Anomaly,prob_Structural Break,confidence
2804,0,2,0,0.08,0.06,0.42,0.095,0.345,0.42
4567,4,0,0,0.48,0.01,0.195,0.1,0.215,0.48
4608,4,0,0,0.42,0.025,0.245,0.165,0.145,0.42
3430,2,3,0,0.05,0.05,0.22,0.445,0.235,0.445
3093,2,3,0,0.02,0.03,0.32,0.4,0.23,0.4
4798,4,1,0,0.005,0.685,0.0,0.05,0.26,0.685
3284,2,0,0,0.34,0.0,0.16,0.2,0.3,0.34
2793,0,2,0,0.31,0.0,0.415,0.07,0.205,0.415
3785,1,3,0,0.06,0.225,0.09,0.405,0.22,0.405
3910,1,3,0,0.09,0.17,0.105,0.355,0.28,0.355
3186,2,0,0,0.455,0.01,0.085,0.26,0.19,0.455
4481,3,0,0,0.4,0.0,0.295,0.065,0.24,0.4
3986,1,3,0,0.025,0.06,0.145,0.53,0.24,0.53
4921,4,2,0,0.165,0.055,0.46,0.23,0.09,0.46
4545,4,0,0,0.415,0.0,0.135,0.32,0.13,0.415
4548,4,0,0,0.6,0.0,0.165,0.04,0.195,0.6
3897,1,0,0,0.39,0.0,0.19,0.235,0.185,0.39
4775,4,1,0,0.075,0.495,0.045,0.02,0.365,0.495
4773,4,1,0,0.055,0.575,0.02,0.11,0.24,0.575
4604,4,0,0,0.475,0.0,0.3,0.105,0.12,0.475
4264,3,1,0,0.0,0.98,0.0,0.015,0.005,0.98
4658,4,0,0,0.595,0.0,0.15,0.055,0.2,0.595
3789,1,3,0,0.02,0.305,0.105,0.405,0.165,0.405
4687,4,2,0,0.215,0.055,0.305,0.135,0.29,0.305
3095,2,0,0,0.515,0.0,0.24,0.075,0.17,0.515
3278,2,0,0,0.55,0.005,0.14,0.095,0.21,0.55
2695,0,2,0,0.125,0.085,0.455,0.24,0.095,0.455
4529,4,0,0,0.425,0.01,0.155,0.255,0.155,0.425
4784,4,1,0,0.03,0.525,0.0,0.03,0.415,0.525
3932,1,4,0,0.225,0.17,0.13,0.2,0.275,0.275
4818,4,1,0,0.02,0.81,0.005,0.025,0.14,0.81
4401,3,2,0,0.32,0.01,0.325,0.145,0.2,0.325
4522,4,0,0,0.645,0.0,0.09,0.18,0.085,0.645
3128,2,4,0,0.07,0.035,0.33,0.055,0.51,0.51
2842,0,1,0,0.01,0.67,0.005,0.1,0.215,0.67
3134,2,4,0,0.315,0.025,0.3,0.04,0.32,0.32
3182,2,3,0,0.18,0.13,0.165,0.33,0.195,0.33
2622,0,3,0,0.225,0.03,0.31,0.32,0.115,0.32
4088,3,2,0,0.095,0.02,0.51,0.035,0.34,0.51
4402,3,0,0,0.48,0.0,0.22,0.095,0.205,0.48
3310,2,0,0,0.4,0.02,0.28,0.15,0.15,0.4
4273,3,1,0,0.005,0.685,0.0,0.09,0.22,0.685
4800,4,1,0,0.05,0.465,0.01,0.085,0.39,0.465
4471,3,2,0,0.185,0.02,0.36,0.165,0.27,0.36
5002,4,0,0,0.58,0.01,0.15,0.085,0.175,0.58
