model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,0.9976763258611263,0.976775956284153,accuracy,0.04042840003967285,0.011776447296142578,12.968368291854858,0.04042840003967285,0.011776447296142578,12.968368291854858,1,True,3
WeightedEnsemble_L2,0.9976763258611263,0.976775956284153,accuracy,0.058463335037231445,0.012842178344726562,13.022351264953613,0.018034934997558594,0.0010657310485839844,0.05398297309875488,2,True,12
LightGBMXT,0.9975396391470749,0.9754098360655737,accuracy,0.0759575366973877,0.018223047256469727,26.00358247756958,0.0759575366973877,0.018223047256469727,26.00358247756958,1,True,2
XGBoost,0.9975396391470749,0.9754098360655737,accuracy,0.11381268501281738,0.010868549346923828,10.352237701416016,0.11381268501281738,0.010868549346923828,10.352237701416016,1,True,9
LightGBMLarge,0.9974029524330235,0.9740437158469946,accuracy,0.11252808570861816,0.023128509521484375,57.11325025558472,0.11252808570861816,0.023128509521484375,57.11325025558472,1,True,11
RandomForestEntr,0.9964461454346637,0.9644808743169399,accuracy,0.3844258785247803,0.31559157371520996,1.859105110168457,0.3844258785247803,0.31559157371520996,1.859105110168457,1,True,5
RandomForestGini,0.9958993985784582,0.9590163934426229,accuracy,0.35724472999572754,0.31017374992370605,1.992145299911499,0.35724472999572754,0.31017374992370605,1.992145299911499,1,True,4
ExtraTreesGini,0.9950792782941498,0.9508196721311475,accuracy,0.377718448638916,0.31380796432495117,1.9913208484649658,0.377718448638916,0.31380796432495117,1.9913208484649658,1,True,7
ExtraTreesEntr,0.9950792782941498,0.9508196721311475,accuracy,0.39488720893859863,0.31190919876098633,1.8395488262176514,0.39488720893859863,0.31190919876098633,1.8395488262176514,1,True,8
NeuralNetTorch,0.9923455440131219,0.9658469945355191,accuracy,0.11396408081054688,0.02601480484008789,49.300171852111816,0.11396408081054688,0.02601480484008789,49.300171852111816,1,True,10
CatBoost,0.9882449425915801,0.9658469945355191,accuracy,0.03590822219848633,0.01456141471862793,12.170448303222656,0.03590822219848633,0.01456141471862793,12.170448303222656,1,True,6
NeuralNetFastAI,0.9656916347731,0.9439890710382514,accuracy,0.11150527000427246,0.014541149139404297,13.265968799591064,0.11150527000427246,0.014541149139404297,13.265968799591064,1,True,1
