feature_name,importance
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.04863387978142071
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.016502732240437124
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.014644808743169358
"data__fft_coefficient__attr_""abs""__coeff_1",0.014316939890710345
"data__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.011912568306010885
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.005792349726775914
data__longest_strike_below_mean,0.005027322404371537
data__binned_entropy__max_bins_10,0.004808743169398855
data__longest_strike_above_mean,0.0046994535519125245
data__energy_ratio_by_chunks__num_segments_10__segment_focus_9,0.004590163934426172
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.003934426229508148
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.0038251366120218176
"data__fft_aggregated__aggtype_""kurtosis""",0.003278688524590123
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.0029508196721311107
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.0025136612021857685
"data__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.002185792349726756
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.0020765027322404038
data__cid_ce__normalize_False,0.0018579234972677216
"data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.0018579234972676995
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.0016393442622950171
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.001420765027322357
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.001420765027322357
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.0010928961748633004
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.0009836065573769926
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0009836065573769926
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.0007650273224043324
data__autocorrelation__lag_5,0.0007650273224043102
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.0007650273224043102
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.0006557377049179802
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.0006557377049179802
data__autocorrelation__lag_1,0.0006557377049179802
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.0006557377049179802
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.0005464480874316724
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.0005464480874316502
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.0005464480874316502
data__index_mass_quantile__q_0.4,0.0005464480874316502
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0005464480874316502
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.000546448087431628
data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.00043715846994534234
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.00043715846994532017
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.00043715846994532017
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.00043715846994532017
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.00043715846994532017
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.00043715846994529795
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.00043715846994529795
"data__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.0003278688524589901
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.0003278688524589901
data__friedrich_coefficients__coeff_2__m_3__r_30,0.0003278688524589901
data__autocorrelation__lag_4,0.0003278688524589901
data__autocorrelation__lag_6,0.0003278688524589901
