feature,importance,rank
data__kurtosis,4.129599944453763,1
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",3.7096640797771077,2
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",3.1835331669184357,3
data__autocorrelation__lag_4,3.0318109621869254,4
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,2.928603885941435,5
data__index_mass_quantile__q_0.1,2.778267690542151,6
"data__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",2.6230811959653297,7
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",2.553113160726762,8
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",2.530447410838847,9
data__binned_entropy__max_bins_10,2.4536667736643776,10
data__autocorrelation__lag_1,2.322603971518669,11
data__autocorrelation__lag_2,2.314679909922358,12
data__friedrich_coefficients__coeff_2__m_3__r_30,2.2678343564984833,13
"data__fft_coefficient__attr_""abs""__coeff_1",2.1694270712701735,14
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,2.1572346811386907,15
data__partial_autocorrelation__lag_1,2.0884877586928683,16
data__benford_correlation,1.9649083333712698,17
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",1.9153172522131539,18
data__ratio_beyond_r_sigma__r_1,1.710027996331257,19
"data__fft_aggregated__aggtype_""kurtosis""",1.6677674693841873,20
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",1.6501141615272383,21
data__index_mass_quantile__q_0.3,1.6055501255134519,22
data__autocorrelation__lag_6,1.5907439261726164,23
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",1.5202019574336372,24
data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,1.4977907670707264,25
"data__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",1.49734080678891,26
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",1.4323491939588822,27
data__energy_ratio_by_chunks__num_segments_10__segment_focus_9,1.41529538216961,28
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",1.30602943951413,29
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",1.2534499153264766,30
data__quantile__q_0.1,1.2509365064615767,31
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",1.2278547127489454,32
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",1.1412174277330227,33
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",1.1221638152142424,34
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",1.1037020505717496,35
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",1.0599011684324442,36
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",1.029319643988295,37
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.9947126848480373,38
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.8746702741260097,39
data__index_mass_quantile__q_0.4,0.8690333838509069,40
data__autocorrelation__lag_5,0.8369635819089313,41
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.7672811790942315,42
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.7422502823322592,43
data__quantile__q_0.3,0.7391067110513841,44
data__autocorrelation__lag_9,0.7148040990035539,45
data__index_mass_quantile__q_0.6,0.7142369213971803,46
data__minimum,0.7015776924996245,47
data__mean_abs_change,0.6983300275043544,48
data__autocorrelation__lag_3,0.6472804592948349,49
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",0.6433441057144186,50
