feature,importance,rank
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.04072913173416802,1
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.03734868416236042,2
data__partial_autocorrelation__lag_1,0.031191220130965015,3
data__autocorrelation__lag_1,0.02655688673659935,4
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.023426583843489,5
data__autocorrelation__lag_5,0.02175910833375539,6
data__autocorrelation__lag_8,0.021616008629992762,7
data__autocorrelation__lag_9,0.02117471930539085,8
"data__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.020691049893092596,9
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.02064198039357325,10
data__autocorrelation__lag_4,0.02049638974396593,11
data__autocorrelation__lag_7,0.020380553816592574,12
data__benford_correlation,0.019570590231787036,13
data__autocorrelation__lag_2,0.019055134309956635,14
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.018799003911442982,15
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.017966161444259134,16
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.017631595511038007,17
data__autocorrelation__lag_6,0.017486104091868244,18
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.01718781647794624,19
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.015302055124621973,20
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.01439209892412568,21
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.014003825120720164,22
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.013924705950372337,23
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.013887377916068155,24
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.013732713360647533,25
data__autocorrelation__lag_3,0.013261960471357213,26
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.01293298651878282,27
data__kurtosis,0.012746501452465248,28
data__mean_abs_change,0.012117614268059759,29
data__ratio_beyond_r_sigma__r_1,0.012109659205734412,30
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.012002880521082783,31
data__index_mass_quantile__q_0.1,0.01063875829861239,32
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.010425277261452167,33
data__index_mass_quantile__q_0.3,0.009912036338116052,34
"data__fft_aggregated__aggtype_""kurtosis""",0.009576091682362783,35
data__cid_ce__normalize_False,0.009324277561480446,36
"data__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.00920442840644853,37
data__quantile__q_0.1,0.00914867437931923,38
data__index_mass_quantile__q_0.4,0.008960271731837261,39
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.008883227689445914,40
data__binned_entropy__max_bins_10,0.008801472652454507,41
data__index_mass_quantile__q_0.2,0.00842807198152806,42
data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.008316775357056935,43
data__minimum,0.00819390888802765,44
data__quantile__q_0.3,0.008074485332957163,45
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.008048777529304779,46
data__quantile__q_0.7,0.008024357881456399,47
data__longest_strike_below_mean,0.007929701340047406,48
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.007773001211838812,49
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.007625688664988502,50
