feature,importance,rank
data__autocorrelation__lag_4,0.09009211,1
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.08359052,2
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.06750916,3
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.062135138,4
"data__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.06112244,5
data__autocorrelation__lag_1,0.057347167,6
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.05146282,7
data__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.04796211,8
"data__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.045429926,9
data__cid_ce__normalize_False,0.029712256,10
data__ratio_beyond_r_sigma__r_1,0.026472403,11
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.020253072,12
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.017286561,13
data__quantile__q_0.6,0.01687468,14
"data__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.016190033,15
data__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.014669356,16
"data__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.013934846,17
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.013146608,18
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.010976128,19
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.010256904,20
data__kurtosis,0.0100646475,21
data__benford_correlation,0.009892394,22
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.009756358,23
"data__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.009570947,24
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.009550947,25
"data__agg_autocorrelation__f_agg_""median""__maxlag_40",0.009453387,26
"data__fft_coefficient__attr_""abs""__coeff_1",0.0090438165,27
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.007963749,28
data__autocorrelation__lag_2,0.007324989,29
data__friedrich_coefficients__coeff_2__m_3__r_30,0.0064775697,30
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.0058045764,31
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.0054339715,32
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.005288014,33
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.0049758228,34
"data__fft_aggregated__aggtype_""kurtosis""",0.004951616,35
data__minimum,0.004876434,36
"data__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.004838099,37
data__index_mass_quantile__q_0.4,0.004639194,38
data__quantile__q_0.2,0.0045567,39
"data__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.0038086053,40
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.0037324068,41
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.0036067879,42
"data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.0035014583,43
"data__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.0034987743,44
data__index_mass_quantile__q_0.2,0.0033691304,45
data__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.0033485887,46
data__quantile__q_0.4,0.0033054326,47
data__autocorrelation__lag_6,0.0030773736,48
"data__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.0028990638,49
data__binned_entropy__max_bins_10,0.0028705124,50
