id,true_label,predicted_label,correct,prob_Trend,prob_Volatility,prob_Stochastic,prob_Anomaly,prob_Structural Break,confidence
13657,2,4,0,0.025,0.0,0.325,0.0,0.65,0.65
18527,4,3,0,0.0,0.005,0.005,0.64,0.35,0.64
19869,4,2,0,0.02,0.0,0.67,0.0,0.31,0.67
18179,4,3,0,0.0,0.005,0.0,0.875,0.12,0.875
13578,2,4,0,0.145,0.0,0.235,0.035,0.585,0.585
13339,2,4,0,0.06,0.0,0.34,0.0,0.6,0.6
18925,4,3,0,0.005,0.0,0.11,0.61,0.275,0.61
18373,4,3,0,0.005,0.005,0.01,0.495,0.485,0.495
15852,1,4,0,0.0,0.455,0.0,0.08,0.465,0.465
19400,4,2,0,0.085,0.0,0.85,0.0,0.065,0.85
15325,1,3,0,0.0,0.435,0.0,0.52,0.045,0.52
19355,4,2,0,0.0,0.0,0.765,0.0,0.235,0.765
18252,4,3,0,0.0,0.0,0.0,0.9,0.1,0.9
17504,3,4,0,0.0,0.0,0.035,0.38,0.585,0.585
18019,4,3,0,0.0,0.09,0.0,0.645,0.265,0.645
19708,4,2,0,0.015,0.0,0.495,0.0,0.49,0.495
10258,0,4,0,0.035,0.0,0.135,0.0,0.83,0.83
18094,4,3,0,0.0,0.01,0.005,0.885,0.1,0.885
18463,4,3,0,0.0,0.21,0.005,0.505,0.28,0.505
18237,4,3,0,0.0,0.0,0.0,0.905,0.095,0.905
16568,3,1,0,0.0,0.97,0.0,0.025,0.005,0.97
18377,4,3,0,0.005,0.0,0.055,0.52,0.42,0.52
18107,4,3,0,0.0,0.02,0.0,0.725,0.255,0.725
17683,3,4,0,0.015,0.005,0.02,0.43,0.53,0.53
13736,2,4,0,0.005,0.005,0.005,0.23,0.755,0.755
19904,4,2,0,0.005,0.0,0.615,0.0,0.38,0.615
13315,2,4,0,0.015,0.0,0.435,0.0,0.55,0.55
18100,4,3,0,0.0,0.025,0.01,0.78,0.185,0.78
11084,0,2,0,0.07,0.0,0.9,0.0,0.03,0.9
18049,4,3,0,0.0,0.08,0.005,0.725,0.19,0.725
19553,4,2,0,0.02,0.0,0.575,0.0,0.405,0.575
15246,1,3,0,0.0,0.35,0.005,0.62,0.025,0.62
13672,2,0,0,0.505,0.0,0.455,0.0,0.04,0.505
13927,2,4,0,0.105,0.0,0.29,0.06,0.545,0.545
12781,2,4,0,0.005,0.0,0.415,0.0,0.58,0.58
18345,4,3,0,0.005,0.005,0.01,0.54,0.44,0.54
19418,4,2,0,0.0,0.0,0.685,0.0,0.315,0.685
19406,4,2,0,0.205,0.0,0.54,0.0,0.255,0.54
18438,4,3,0,0.0,0.0,0.02,0.58,0.4,0.58
19219,4,1,0,0.0,0.42,0.0,0.225,0.355,0.42
13298,2,3,0,0.005,0.065,0.0,0.895,0.035,0.895
18547,4,3,0,0.0,0.075,0.01,0.545,0.37,0.545
16574,3,1,0,0.0,0.605,0.0,0.365,0.03,0.605
13855,2,4,0,0.01,0.03,0.025,0.4,0.535,0.535
13245,2,4,0,0.005,0.0,0.32,0.0,0.675,0.675
13487,2,4,0,0.02,0.005,0.0,0.1,0.875,0.875
13860,2,3,0,0.0,0.01,0.015,0.875,0.1,0.875
17772,3,4,0,0.0,0.0,0.025,0.39,0.585,0.585
13483,2,4,0,0.025,0.0,0.31,0.11,0.555,0.555
19058,4,3,0,0.01,0.075,0.02,0.49,0.405,0.49
18539,4,3,0,0.005,0.02,0.005,0.555,0.415,0.555
18436,4,0,0,0.6,0.0,0.09,0.0,0.31,0.6
18083,4,3,0,0.0,0.075,0.015,0.815,0.095,0.815
19410,4,2,0,0.075,0.0,0.825,0.0,0.1,0.825
17584,3,4,0,0.0,0.0,0.065,0.165,0.77,0.77
10885,0,2,0,0.325,0.0,0.65,0.0,0.025,0.65
17928,4,2,0,0.015,0.0,0.975,0.0,0.01,0.975
19857,4,2,0,0.0,0.0,0.55,0.0,0.45,0.55
19700,4,2,0,0.035,0.0,0.695,0.0,0.27,0.695
19838,4,2,0,0.005,0.0,0.535,0.0,0.46,0.535
19846,4,2,0,0.05,0.0,0.85,0.0,0.1,0.85
